id,nom,marque,caracteristiques,prix,Affichage,Alimentation,Batterie,Cache par processeur,Caméra,Caractéristiques principales du processeur,Clavier,Codec,Contrôleur de stockage,Contrôleur graphique,Couleur,Disque dur,Débit d'absorption spécifique (DAS),Empreinte carbone,Entrée audio,Entrée vidéo,Fourni avec,Garantie du fabricant,Intelligence Apple,Lecteur de carte,Localisation,Logiciel(s) inclus,Matériaux de terres rares,Microsoft Copilot,Moniteur,Mémoire cache,Normes audionumériques prises en charge,Normes environnementales,Normes vidéo numériques prises en charge,Poids,Port du Processeur,Potocole de signal numérique,Processeur,Programme de ventes par le fabricant,Protocole de compression de données,Protocoles VoIP,Périphérique d'entrée,RAM,Réseaux,Services inclus,Sortie audio,Stockage optique,Système d'exploitation fourni,Technologie de Plate-forme,Type,Type de tarification,Unité de traitement neural (NPU)
10392138,HP 27-cr0008nf,HP INC,"cr0008nf - Tout-en-un Core i5 1335U / jusqu'à 4.6 GHz - RAM 16 Go - SSD 512 Go - NVMe - Carte graphique Intel Iris Xe - IEEE 802.11ax (Wi-Fi 6), Bluetooth 5.3, Gigabit Ethernet - Win 11 Home - moniteur : LED 27"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille",800.38,,,,12 Mo,Oui,Technologie Intel Turbo Boost,Français,,,Carte graphique Intel Iris Xe,Blanc coquille,SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,Langue : français / région : France,"HP Connection Optimizer, HP Support Assistant, HP OMEN Gaming Hub, HP Enhanced Lighting, myHP, McAfee Online Protection (30 jours d'essai), ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an)",,,"27"" - LED - 1920 x 1080 (Full HD)",12 Mo L3,,ENERGY STAR,,6.42 kg,,,"Intel Core i5 (13ème génération) 1335U (jusqu'à 4.6 GHz, (10 cœurs)",,,,,16 Go DDR4 SDRAM,"802.11a, Wi-Fi 5, Wi-Fi 6, 802.11b/g/n, Bluetooth 5.3, 1GbE",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
9850201,HP All-in-One 24-cr0067nf PC,HP INC,"Tout-en-un - Ryzen 5 7520U / jusqu'à 4.3 GHz - RAM 16 Go - SSD 512 Go - NVMe - Radeon 610M - Gigabit Ethernet, Bluetooth 5.3, IEEE 802.11ax (Wi-Fi 6) LAN sans fil: - 802.11a/b/g/n/ac/ax, Bluetooth 5.3 - Win 11 Home - moniteur : LED 23.8"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille, finition texturée",640.14,,,,4 Mo,Oui,,Français,,,AMD Radeon 610M,"Blanc coquille, finition texturée",SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,Langue : français / région : France,"HP Support Assistant, Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an), HP Connection Optimizer, ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), myHP, HP OMEN Gaming Hub, Adobe (essai 1 mois), HP Enhanced Lighting, Microsoft 365 (1 mois d'essai), McAfee Online Protection (30 jours d'essai)",,,"23.8"" - LED - 1920 x 1080 (Full HD)",4 Mo L3,,ENERGY STAR,,5.27 kg,,,"AMD Ryzen 5 7520U / 2.8 GHz (jusqu'à 4.3 GHz, (quadricœur)",,,,,16 Go LPDDR5 SDRAM,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Bluetooth 5.3, Wi-Fi 6",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
11836324,Dell Pro 24 All-in-One QC24251,DELL,SPL|Dell Pro 24 All-in-One QC24251|TPM|U5-235T|16GB|512GB SSD|Non-touch|Integrated|130W|Adj Stand|WLAN|Kb&Mse|W11 Pro|1Y Basic Onsite,891.79,,(50/60 Hz),,24 Mo,Oui,"14 fils, 35W CPU",,,,Intel Graphics mémoire vidéo partagée (UMA) - jusqu'à 6 TOPS,Noir,"SSD 512 Go - PCI Express 4.0 - M.2 2230 - NVM Express (NVMe), Quad-level Cell (QLC)",,265 kg d'émissions de carbone,,,,,,Oui,,"Activez votre Microsoft 365 pour une période d'essai de 30 jours, logiciels supplémentaires Dell",,,"23.81"" - LCD - 1920 x 1080 (Full HD) @ 60 Hz - 92 ppi",24 Mo,,ENERGY STAR EPEAT Silver,,8.09 kg,,,"Intel Core Ultra 5 (Série 2) 235T / 2.2 GHz (jusqu'à 5 GHz, (14 cœurs)",,,,,16 Go (installé) / 64 Go (maximum) - DDR5 SDRAM - non ECC,"1GbE, Bluetooth, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6E",1 an basique sur site,,Pas de disque optique,Windows 11 Pro,,Ordinateur personnel - tout-en-un,Build To Stock (BTS),Intel AI Boost - jusqu'à 13 TOPS
10392156,HP 24-cr0068nf,HP INC,"cr0068nf - Tout-en-un N-series N300 / jusqu'à 3.8 GHz - RAM 8 Go - SSD 512 Go - NVMe - UHD Graphics - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6), Bluetooth 5.3 - Win 11 Home - moniteur : LED 23.8"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille, finition texturée",532.35,,,,6 Mo,Oui,Technologie Intel Turbo Boost,Français,,,Intel UHD Graphics,"Blanc coquille, finition texturée",SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,Langue : français / région : France,"HP Connection Optimizer, HP Support Assistant, HP OMEN Gaming Hub, HP Enhanced Lighting, myHP, McAfee Online Protection (30 jours d'essai), Adobe (essai 1 mois), Microsoft 365 (1 mois d'essai), ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an)",,,"23.8"" - LED - 1920 x 1080 (Full HD)",6 Mo L3,,ENERGY STAR EPEAT Gold,,5.27 kg,,,"Intel N-series N300 (jusqu'à 3.8 GHz, (8 cœurs)",,,,,8 Go DDR4 SDRAM,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6, Bluetooth 5.3",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
11763950,HP All-in-One 27-cr0060nf,HP INC,"cr0060nf - Tout-en-un Ryzen 7 7730U / jusqu'à 4.5 GHz - RAM 16 Go - SSD 512 Go - NVMe - Radeon Graphics - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6), Bluetooth 5.3 - Win 11 Home - moniteur : LED 27"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille, finition texturée",899.1,,,,16 Mo,Oui,16 fils,Français,,,AMD Radeon Graphics,"Blanc coquille, finition texturée",SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,190 kg d'émissions de carbone,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,Langue : français / région : France,"HP Connection Optimizer, HP Support Assistant, HP OMEN Gaming Hub, HP Enhanced Lighting, myHP, Microsoft 365 (1 mois d'essai), McAfee Online Protection (30 jours d'essai), Adobe (essai 1 mois), PC Game Pass (essai de 3 mois), ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an)",,,"27"" - LED - 1920 x 1080 (Full HD)",16 Mo L3,,ENERGY STAR EPEAT Gold,,6.42 kg,,,"AMD Ryzen 7 7730U (jusqu'à 4.5 GHz, (8 cœurs)",,,,,16 Go DDR4 SDRAM,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6, Bluetooth 5.3",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
11763959,HP All-in-One 27-cr0061nf,HP INC,"cr0061nf - Tout-en-un Ryzen 5 7520U / jusqu'à 4.3 GHz - RAM 16 Go - SSD 512 Go - NVMe - Radeon 610M - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6), Bluetooth 5.3 - Win 11 Home - moniteur : LED 27"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille, finition texturée",764.1,,,,4 Mo,Oui,8 fils,Français,,,AMD Radeon 610M,"Blanc coquille, finition texturée",SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,190 kg d'émissions de carbone,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,Langue : français / région : France,"HP Connection Optimizer, HP Support Assistant, HP OMEN Gaming Hub, HP Enhanced Lighting, myHP, Microsoft 365 (1 mois d'essai), McAfee Online Protection (30 jours d'essai), Adobe (essai 1 mois), PC Game Pass (essai de 3 mois), ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an)",,,"27"" - LED - 1920 x 1080 (Full HD)",4 Mo L3,,ENERGY STAR EPEAT Gold,,6.42 kg,,,"AMD Ryzen 5 7520U (jusqu'à 4.3 GHz, (quadricœur)",,,,,16 Go LPDDR5 SDRAM,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6, Bluetooth 5.3",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
11763952,HP All-in-One 24-cr0081nf,HP INC,"cr0081nf - Tout-en-un Ryzen 7 7730U / jusqu'à 4.5 GHz - RAM 16 Go - SSD 512 Go - NVMe - Radeon Graphics - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6), Bluetooth 5.3 - Win 11 Home - moniteur : LED 23.8"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille, finition texturée",809.1,,,,16 Mo,Oui,16 fils,Français,,,AMD Radeon Graphics,"Blanc coquille, finition texturée",SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,190 kg d'émissions de carbone,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,Langue : français / région : France,"HP Connection Optimizer, HP Support Assistant, HP OMEN Gaming Hub, HP Enhanced Lighting, myHP, Microsoft 365 (1 mois d'essai), McAfee Online Protection (30 jours d'essai), Adobe (essai 1 mois), PC Game Pass (essai de 3 mois), ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an)",,,"23.8"" - LED - 1920 x 1080 (Full HD)",16 Mo L3,,ENERGY STAR EPEAT Gold,,5.27 kg,,,"AMD Ryzen 7 7730U (jusqu'à 4.5 GHz, (8 cœurs)",,,,,16 Go DDR4 SDRAM,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6, Bluetooth 5.3",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
10387940,Lenovo ThinkCentre neo 50a 24 Gen 5 12SD,LENOVO,"Tout-en-un avec support d'écran - Core i5 13420H / jusqu'à 4.6 GHz - RAM 8 Go - SSD 256 Go - TCG Opal Encryption 2, NVMe - UHD Graphics - Gigabit Ethernet, Bluetooth 5.2, IEEE 802.11ax (Wi-Fi 6) - Win 11 Pro - moniteur : LED 23.8"" 1920 x 1080 (Full HD) @ 100 Hz - clavier : Français - gris luna - Lenovo TopSeller - avec 1 an",906.71,,(50/60 Hz),,12 Mo,Oui,,Français,,,Intel UHD Graphics mémoire vidéo partagée (UMA),Gris luna,"SSD 256 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption 2, NVM Express (NVMe)",,,,,,Garantie de base - 1 an - enlèvement et retour ¦ Garantie étendue - 1 an - sur site,,,Langue : français / région : France,,,,"23.8"" - LED - 1920 x 1080 (Full HD) @ 100 Hz - 16:9",12 Mo,,ENERGY STAR EPEAT Silver,,6 kg,,,"Intel Core i5 (13ème génération) 13420H / 2.1 GHz (jusqu'à 4.6 GHz, (8 cœurs)",Lenovo TopSeller,,,,8 Go (installé) / 32 Go (maximum) - DDR5 SDRAM,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Bluetooth 5.2, Wi-Fi 6",1 an de support Lenovo sur site,,Pas de disque optique,Windows 11 Pro,,Ordinateur personnel - tout-en-un,,
11853610,ASUS ExpertCenter P400 AiO P440VAK BPC361X,ASUSTEK,"Tout-en-un Core i5 13420H / jusqu'à 4.6 GHz - RAM 16 Go - SSD 512 Go - NVMe - UHD Graphics - IEEE 802.11ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet - Win 11 Pro - moniteur : LED 23.8"" 1920 x 1080 (Full HD) - noir",1111.0,,(50/60 Hz),,12 Mo,Oui,,,,SATA (SATA 6Gb/s),Intel UHD Graphics,Noir,SSD 512 Go - PCI Express 4.0 - M.2 - NVM Express (NVMe),,,,,,Garantie limitée - 2 ans - enlèvement et retour,,,,"MyASUS, AppDeals, ASUS Business Manager, McAfee (version d'évaluation de 30 jours)",,,"23.8"" - LED - 1920 x 1080 (Full HD) - 16:9",12 Mo,,,,6.9 kg,,,"Intel Core i5 (13ème génération) 13420H / 2.1 GHz (jusqu'à 4.6 GHz, (8 cœurs)",,,,,16 Go (installé) / 32 Go (maximum) - DDR5 SDRAM,"802.11a, Wi-Fi 5, Wi-Fi 6E, 802.11b/g/n, Bluetooth 5.3, 1GbE",,,Pas de disque optique,Windows 11 Pro,,Ordinateur personnel - tout-en-un,,
11780603,ASUS ExpertCenter P400 AiO P440VAK WPC015W,ASUSTEK,"Tout-en-un Core i3 i3-1315U / jusqu'à 4.5 GHz - RAM 8 Go - SSD 512 Go - NVMe - UHD Graphics - IEEE 802.11ax (Wi-Fi 6), Bluetooth, Gigabit Ethernet, Bluetooth 5.4 - Win 11 Home - moniteur : LED 23.8"" 1920 x 1080 (Full HD) - blanc",843.0,,(50/60 Hz),,10 Mo,Oui,,,,SATA (SATA 6Gb/s),Intel UHD Graphics,Blanc,SSD 512 Go - PCI Express 4.0 - M.2 - NVM Express (NVMe),,,,,,Garantie limitée - 2 ans - enlèvement et retour,,,,"MyASUS, AppDeals, ASUS Business Manager, McAfee (version d'évaluation de 30 jours)",,,"23.8"" - LED - 1920 x 1080 (Full HD) - 16:9",10 Mo,,,,6.9 kg,,,"Intel Core i3 (13ème génération) i3-1315U / 1.2 GHz (jusqu'à 4.5 GHz, (6 cœurs)",,,,,8 Go (installé) / 32 Go (maximum) - DDR4 SDRAM,"Wi-Fi 6, 802.11b/g/n, 802.11a, Wi-Fi 5, Bluetooth, 1GbE, Bluetooth",,,Pas de disque optique,Windows 11 Home,,Ordinateur personnel - tout-en-un,,
