id,nom,marque,caracteristiques,prix,Affichage,Ajustements,Alimentation,Alimentation fournie,Ancrable,Appareil d'entrée,Appareils intégrés,Avertissement sur les couleurs de l'image,Batterie,Caractéristiques,Certification Microsoft,Certification du logiciel,Classe énergétique,Clavier numérique,Commandes,Compatibilité,Compatibilité TTA,Compatibilité de la taille de l'écran,Compatibilité ordinateur portable,Configuration requise,Connecteur,Connecteur (deuxième extrémité),Connecteurs d'entrée,Contenu de l'emballage,Contenu recyclé du produit,Conçu pour,Couleur,Courant nominal,Destiné à,Dimension Rack,Dimensions d'ordinateur portable prises en charge,Dispositif de pointage,Dispositifs de sécurité,Débit de transfert de données,Effets sonores,Empreinte carbone,Epaisseur,Facteur de forme,Facteur de forme du casque,Fonction de raccourcis clavier,Fonctionne avec Chromebook,Fonctions,Fonctions supplémentaires,Format,Fourni avec,Gamme de couleurs,Garantie du fabricant,Hauteur (unités de rack),Impédance,Inclinaison,Interface,Interface de montage VESA,Interface de station d'accueil,Interfaces vidéo,Jeu,Lavable,Localisation,Localisation et disposition,Longueur,Longueur du câble,Luminosité,Matière du boîtier,Matériau,Matériau du produit,Microphones fournis,Mode de fonctionnement des appareils électriques,Mode de fonctionnement du microphone,Mode de sortie audio,Multipoint,Nbre de touches,Nombre de boutons,Nombre de touches,Nombre de touches spéciales,Nombre inclus,Normes de conformité,Normes environnementales,Panoramique,Performance,Performances,Pistes de la carte ISO,Pivoter,Pliable,Poids,Poids de la charge max.,Positionnement/montage,Processeur,Profondeur réglable,Programme de ventes par le fabricant,Protection,Protocole de liaison de données,Puissance d'entrée max.,Quantité emballée,Rapport de contraste,Revêtement de l'écran,Récepteur sans fil,Réglages de la position de l'écran,Réseaux,Résolution,Résolution native,Rétroéclairage du clavier,Rétroéclairé,Services inclus,Spécifications audio,Stockage,Style de touches,Suppresseur de bruit actif,Suppression du bruit de microphone,Système d'exploitation,Système d'exploitation requis,Taille,Technologie Adaptive-Sync,Technologie de casque,Technologie de charge rapide,Technologie de connectivité,Technologie de détection de mouvements,Technologie du microphone,Technologie sans fil,Temps de réponse,Tension,Tension requise,Type,Type d'emballage,Type d'interface (bus),Type de Produit,Type de contacts,Type de diaphragme,Type de licence,Type de microphone,Type de panneau,Type de prise,Type de rack,Type de tarification,Utilisation recommandée,Webcam intégrée,Éléments de montage
2028281,Logitech K120,LOGITECH,Logitech Keyboard K120 - Clavier - USB - version OEM,15.99,,,,,,,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Étanche,,,,,,,,,USB,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,0.55 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filaire,,,,,,,,,,,,,,,,,,,,,
7412549,HP 150,HP INC,"Ensemble clavier et souris - USB - Français - noir - pour HP 21, 22, 24, 27; Pavilion 24, 27, TP01; Pavilion Laptop 13, 14, 15",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,"HP 21, 22, 24, 27; Pavilion 24, 27, TP01; Pavilion Laptop 13, 14, 15",Noir,,,,,Souris,,,,,,,,"E-mail, volume, page d'accueil, musique, films, signets",,,,,,,1 an de garantie,,,,USB,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filaire,,,,,,,,,,,,,,,,,,,,,
11770948,Philips 4000 series SPT6407B,PHILIPSMMD,"Ensemble clavier et souris - sans fil - 2.4 GHz, Bluetooth 3.0, Bluetooth 5.0",34.11,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Souris - sans fil - optique - droitiers et gauchers,,,,,,,,,,,,,,,,,,,"2.4 GHz, Bluetooth 3.0, Bluetooth 5.0",,,,,,,,,,,,,,,,,,,110,,4,,,,,,3 millions de clics,,,,,,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
5720389,Clavier Typecover pour Surface Go - Noir,MICROSOFT,"Clavier - avec trackpad, accéléromètre - rétroéclairé - Français - noir - commercial - Compatible sur toute la gamme Surface GO",87.47,,,,,,,"Trackpad, accéléromètre",,,,,,,,,,,,,,,,,,,"Surface Go, Go 2",Noir,,,,,,,,,,,,,"Multimédia, luminosité, raccourcis Windows",,,,,,,1 an de garantie,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,245 g,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commercial,,,
6359176,Dell Pro Keyboard and Mouse KM5221W,DELL,"Ensemble clavier et souris - sans fil - 2.4 GHz - Français AZERTY - noir - pour Precision 7560, XPS 13 9310, 15 9510",44.5,,,,,,,,,,,,,,,,,,,,,,,,,,"Precision 7560; XPS 13 9310, 15 9510",Noir,,,,,Souris - sans fil - optique,,,,,,,,"Volume, touche secret",,,,,,,,,,,2.4 GHz,,,,,,,Français canadien,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,3 years NBD Advance Exchange,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
6359175,Dell Pro Plus Keyboard and Mouse KM7321W,DELL,"Ensemble clavier et souris - sans fil - 2.4 GHz, Bluetooth 5.0 - AZERTY - Français - gris titan - avec 3 years NBD Advance Exchange - pour Precision 7560; XPS 13 9310, 15 9510",82.5,,,,,,,,,,,,,,,,,,,,,,,,,,"Precision 7560; XPS 13 9310, 15 9510",Gris titan,,,,,Souris - sans fil - optique,,,,,,,,"Volume, touche secret",,,,,,,,,,,"2.4 GHz, Bluetooth 5.0",,,,,,,AZERTY Français,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,3 years NBD Advance Exchange,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
4455125,MCL - Kit clavier + souris USB - Noir,MCL SAMAR,2012/N - Ensemble clavier et souris - USB - AZERTY - Français - noir,12.32,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Noir,,,,,Souris - filaire - optique,,,,,,,,,,,,,,,,,,,USB,,,,,,,AZERTY Français,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filaire,,,,,,,,,,,,,,,,,,,,,
11511472,HP 725,HP INC,"Ensemble clavier et souris - multi-appareils, rechargeable, alimenté par SuperCapacitor - full size - sans fil - 2.4 GHz, Bluetooth - Français - noir tombée de nuit - Smart Buy",95.4,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Noir tombée de nuit,,,,,Souris - sans fil,,,,,,,,"Dictée, Copilot, verrouillage du PC, calculatrice",,,,,,,1 an de garantie,,,,"2.4 GHz, Bluetooth",,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP Smart Buy,Résistant aux éclaboussures,,,,,,Récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
7449701,Logitech Signature MK650 Combo for Business,LOGITECH,Logitech - Signature MK650 Combo for Business - Graphite - Français,84.99,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Graphite,,,,,Souris - sans fil,,,,,,,,"Dictée, Emoji, écran de découpage, coupure du microphone, fonction arrière, actualisation, Tab, imprimé, calculatrice, commutateur de langue",Oui,,,,,,Garantie de 2 ans,,,,Bluetooth LE,,,,,,,AZERTY Français,,,,,,,,,,,,,,5,6,,,,,Commutation de sensibilité en temps réel 400 - 4 000 dpi,,,,,,,,,,,,,,,,,Récepteur USB Logitech Logi Bolt,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
5690342,Dell Pro Plus Compact Keyboard and Mouse,DELL,"KM7120W - Ensemble clavier et souris - sans fil - 2.4 GHz, Bluetooth 5.0 - Français - gris titan - avec 3 years NBD Advance Exchange - pour Latitude 9410; OptiPlex 7480; Precision 3640, 7560; Vostro 5502; XPS 13 9310, 15 9510",73.25,,,,,,,,,,,,,,,,,,,,,,,,,,"Latitude 3510, 9410, 9510; OptiPlex 7480 All In One; Precision 3640 Tower, 7560; Vostro 3491, 3591, 5502; XPS 13 9310, 15 9510",Gris titan,,,,,Souris - sans fil - optique,,,,,,,,"Multimédia, recherche, page d'accueil, volume -, volume +, écran d'impression",,,,,,,,,,,"2.4 GHz, Bluetooth 5.0",,,,,,,Français,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 years NBD Advance Exchange,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
