id,nom,marque,caracteristiques,prix,Accessoires compris,Améliorations d'image,Audio,Avertissement sur les couleurs de l'image,Bruitages,Caméra,Capacité de stockage,Caractéristiques,Cartes mémoire prises en charge,Certification Microsoft,Chaînage en marguerites,Classe de diagonale,Classe énergétique,Code QR du label énergétique URL,Commutateur clavier-écran-souris,Compatible HDR,Connecteurs d'entrée,Connectivité,Consommation d'énergie annuelle,Consommation en fonctionnement,Consommation électrique en mode marche,Consommation électrique en veille,Contrôleur graphique,Conçu pour,Couleur,Câbles inclus,Densité par pixel,Dimensions (LxPxH) - avec base,Dimensions (LxPxH) - avec socle (orientation paysage),Dimensions (LxPxH) - avec support,"Dimensions (LxPxH) - avec support (orientation paysage, position la plus haute)",Dimensions (LxPxH) - avec support (position la plus basse),Dimensions (LxPxH) - avec support (position la plus haute),Dimensions (LxPxH) - sans base,Dimensions (LxPxH) - sans support,Dimensions (LxPxH) - unité d'affichage,Disque dur,Empreinte carbone,Entrée audio,Ethernet intégré,Facteur de forme,Fonctions commerciales,Format HDR,Format d'affichage,Format de l'image,Formats vidéo d'entrée,Fourni avec,Gamme de couleurs,Garantie du fabricant,Haut-parleurs,Interface PC,Interface vidéo,Interfaces,Jeu,Lecteur de carte,Localisation,Logiciel(s) inclus,Luminosité,Matériaux de terres rares,Modes vidéo,Moniteur,Nombre d'écrans,Nombre de ports HDMI,Normes de conformité,Normes environnementales,Plate-forme,Plateforme,Poids,Prise en charge des couleurs,Processeur,Programme de ventes par le fabricant,RAM,Rapport de contraste,Revêtement de l'écran,Réglages de la position de l'écran,Réseaux,Résolution,Résolution maximale,Résolution native,Services de diffusion en streaming sur Internet,Services inclus,Stockage optique,Système d'exploitation fourni,Système de haut-parleurs,Taille d'écran recommandée,Taille de la diagonale,Taux d'image et technologie d'amélioration,Taux de trame (max),Technologie,Technologie 24p,Technologie Adaptive-Sync,Technologie HDR,Technologie de connectivité,Technologie de rétroéclairage LCD,Temps de réponse,Tension,Tuner TV numérique,Tuner de télévision,Type,Type de Produit,Type de panneau,Type de tarification,USB,Unité d'affichage pour mur vidéo,Utilisation commerciale,Utilisation recommandée,Webcam intégrée,Écran incurvé
7313844,"TS/ThinkVision T24m-29/23.8""/1920x1080",LENOVO,"Écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m² - 1000:1 - 4 ms - HDMI, DisplayPort, USB-C - noir corbeau - pour ThinkCentre M90s Gen 3 11TX",259.71,,,,,,,,Concentrateur à USB 3.2 de génération 1,,,,,Classe D,Https://eprel.ec.europa.eu/qr/1131375,,,"HDMI, DisplayPort, USB-C",,,,,,,ThinkCentre M90s Gen 3 11TX,Noir corbeau,,0.275 mm,,,,,,53.98 cm x 20.49 cm x 56.71 cm,,,,,,,Oui,16:9,,,,,,,72% NTSC (CIE 1931),Garantie de 3 ans,,,,,,,Anglais / Europe,,250 cd/m²,,,,,,"TUV Rheinland Flicker Free Certification, TUV Rheinland Eye Comfort Certification, RoHS 2011/65/EC, TUV Eyesafe Display Certification, TUV Rheinland Low Blue Light (Hardware Solution)","TCO Certified Edge Displays, TCO Certified Displays 9, ENERGY STAR EPEAT Gold",,,6.1 kg,"16,7 millions de couleurs",,,,1000:1 / 3000000:1 (dynamique),Anti-éblouissement,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080,,,,,,,,,,,,,,,,"4 ms (extrême), 6 ms (normal)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
11507488,Lenovo ThinkVision T24-40,LENOVO,"40 - Écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) @ 120 Hz - IPS - 250 cd/m² - 1500:1 - 4 ms - HDMI, VGA, DisplayPort - noir corbeau",189.12,,,,,,,,Concentrateur à USB 3.2 de génération 1,,,,,Classe C,,,,"HDMI, VGA, DisplayPort",,,,,,,,Noir corbeau,,0.2745 mm,,,,,,53.98 cm x 19 cm x 50.58 cm,,,,,,,,16:9,,,,,,,"99% BT.709, 99% sRGB",Garantie de 3 ans,,,,,,,Anglais / Europe,,250 cd/m²,,,,,,"RoHS, TUV Rheinland Flicker Free Certification, China Energy standard Tier 1, TUV Rheinland Low Blue Light (Hardware Solution), TÜV Rheinland Low Blue Light, Eyesafe Certified 2.0, Certification de confort oculaire TUV Rheinland (5 étoiles)","TCO Certified Edge Displays, Certifié TCO, génération 10, pour écrans, ENERGY STAR EPEAT Gold",,,5.1 kg,"16,7 millions de couleurs",,,,1500:1 / 3000000:1 (dynamique),Anti-éblouissement,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 120 Hz,,,,,,,,,,,,,,,,"4 ms (extrême), 6 ms (normal)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
10605201,Samsung S24D400GAU,SAMSUNG,"S40GD Series - écran LED - 24"" (24"" visualisable) - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1000:1 - 5 ms - 2xHDMI, DisplayPort - noir",149.0,,,,,,,,Concentrateur USB 2.0,,,,,Classe C,Https://eprel.ec.europa.eu/qr/2109453,,,"2xHDMI, DisplayPort",,18 kWh,,,,,,Noir,,0.2767 mm,,,54.07 cm x 21.9 cm x 49.77 cm,,,,,,,,,,,16:9,,,,,,,72% (CIE 1931),,,,,,,,,,250 cd/m²,,,,,,"TUV, HDCP 1.2","Certifié TCO, génération 10, pour écrans",,,3.5 kg,"16,7 millions de couleurs",,,,1000:1,,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,5 ms (gris-à-gris),CA 100-240 V,,,,,IPS,,,,,,,
10450471,HP 524pf,HP INC,"HP 524pf - Series 5 Pro - écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 350 cd/m² - 1500:1 - 5 ms - HDMI, DisplayPort - argent (support), noir de jais - Smart Buy",222.0,,,,,,,,Concentrateur à USB 3.2 de génération 1,,,,,Classe C,Https://eprel.ec.europa.eu/qr/1949552,,,"HDMI, DisplayPort",,,,,,,,"Noir de jais, argent (support)",,0.28 mm,,,53.94 cm x 18.95 cm x 50.32 cm,,,,,,,,,,,16:9,,,,,,,100% sRGB,Garantie de 3 ans,,,,,,,Anglais / Europe,,350 cd/m²,,,,,,"VCCI, BSMI, NOM, WHQL, CB, CCC, FCC, ISO 9241-307, KCC, ICES, cTUVus, TUV Bauart, CEC, KC, ERP, CECP, CEL, EAC, CEL Grade 1, BIS, faible halogène, NRCS, MEPS australiens et néo-zélandais, MEPS Vietnam, South Africa Energy Label, Ukraine Energy Label, sans scintillement TUV, Fonctionne avec Chromebook certifié (WWCB), Korea MEPS, Ukraine NSoC, UAE RoHS, Ukraine CoC, Eyesafe Certified 2.0, UAE ECAS","TCO Certified Edge Displays, TCO Certified Displays 9, Certifié TCO, génération 10, pour écrans, ENERGY STAR EPEAT Gold",,,4.9 kg,"16,7 millions de couleurs",,HP Smart Buy,,1500:1 / 10000000:1 (dynamique),"Anti-éblouissement, 3H Hard Coating, Diffusion globale de 25 %","Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,5 ms (gris à gris avec Overdrive),CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
11488927,iiyama ProLite XUB2493HSU-B7,IIYAMA,"B7 - Écran LED - 24"" - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1300:1 - 1 ms - HDMI, DisplayPort - haut-parleurs - noir mat",140.83,,,,,,,,Concentrateur USB 2.0,,,,,Classe E,Https://eprel.ec.europa.eu/qr/2025175,,,"HDMI, DisplayPort",,,,,,,,Noir mat,,0.275 mm,,,,,53.85 cm x 20.95 cm x 35 cm,,,,,,,,,16:9,,,,,,,"72% NTSC, 96% sRGB",Garantie de 3 ans,,,,,,,,,250 cd/m²,,,,,,"DDC-2B, DDC/CI, RoHS, WEEE, PSE Mark, REACH, TUV Bauart, ERP, VCCI Class B, EAC, UKCA",TCO Certified Displays 9,,,4.6 kg,"16,7 millions de couleurs",,,,1300:1 / 80000000:1 (dynamique),Mat,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,1 ms (MPRT),CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
10605203,Samsung S24D406GAU,SAMSUNG,"S40GD Series - écran LED - 24"" (24"" visualisable) - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1000:1 - 5 ms - 2xHDMI, DisplayPort - haut-parleurs - noir",159.0,,,,,,,,Concentrateur USB 2.0,,,,,Classe C,Https://eprel.ec.europa.eu/qr/2109455,,,"2xHDMI, DisplayPort",,18 kWh,,,,,,Noir,,,,,54.07 cm x 21.9 cm x 49.77 cm,,,,,,,,,,,16:9,,,,,,,72% NTSC (CIE 1931),,,,,,,,,,250 cd/m²,,,,,,TUV Eye Comfort certified,"Certifié TCO, génération 10, pour écrans",,,3.5 kg,"16,7 millions de couleurs",,,,1000:1,,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,5 ms (gris-à-gris),CA 100-240 V,,,,,IPS,,,,,,,
30046467,UNBW,UNBW,"UNBW/27""FHD+1920x1200 100Hz IPS HDMI",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11792895,Philips 27E1N1200A,PHILIPSMMD,"1000 Series - écran LED - 27"" - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1300:1 - 1 ms - HDMI, VGA, DisplayPort - haut-parleurs - noir",99.0,,,,,,,,,,,,,,,,,"HDMI, VGA, DisplayPort",,,,,,,,Noir,,0.3114 mm,,,,,,61.7 cm x 21.1 cm x 45.7 cm,,,,,,,,16:9,,,,,,,"80.49% DCI-P3 (CIE 1976), 101.8% sRGB (CIE 1931), 88.37% NTSC (CIE 1976), 86.85% Adobe RGB",,,,,,,,,,250 cd/m²,,,,,,"HDCP 1.4, Plug and Play, DDC/CI, RoHS, sans mercure, CB, TUV/ISO 9241-307, TUV Bauart, EAEU RoHS, MEPS, PSB, PSE Mark, BSMI, VCCI, UKCA, EMF, FCC, ICES-003",,,,3.97 kg,"16,7 millions de couleurs",,,,1300:1,"Anti-éblouissement, 3H Hard Coating, Diffusion globale de 25 %",Inclinaison,,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,"4 ms (gris à gris), 1 ms (MPRT)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
11775731,Lenovo ThinkVision E24-40,LENOVO,"40 - Écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1300:1 - 4 ms - HDMI, VGA, DisplayPort - haut-parleurs - noir corbeau",135.29,,,,,,,,,,,,,Classe C,Https://eprel.ec.europa.eu/qr/2336563,,,"HDMI, VGA, DisplayPort",,,,,,,,Noir corbeau,,0.2745 mm,,,,,,53.98 cm x 17.86 cm x 49.84 cm,,,,,,,,16:9,,,,,,,99% sRGB,Garantie de 3 ans,,,,,,,Anglais / Europe,,250 cd/m²,,,,,,"RoHS, TUV Rheinland Flicker Free Certification, TUV Rheinland Low Blue Light (Hardware Solution)","TCO Certified Edge Displays, Certifié TCO, génération 10, pour écrans, ENERGY STAR EPEAT Gold",,,4.5 kg,"16,7 millions de couleurs",,,,1300:1,Anti-éblouissement,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,"4 ms (extrême), 6 ms (normal)",CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
9916348,iiyama ProLite XUB2493HS-B6,IIYAMA,"B6 - Écran LED - 24"" (23.8"" visualisable) - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1300:1 - 0.5 ms - HDMI, DisplayPort - haut-parleurs - noir, mat",132.5,,,,,,,,,,,,,Classe E,,,,"HDMI, DisplayPort",,,,16 Watt,,,,"Noir, mat",,0.275 mm,,,,,53.95 cm x 20.95 cm x 34.3 cm,,,,,,,,,,,,,,,,"72% NTSC, 96% sRGB",,,,,,,,,,250 cd/m²,,,,,,"DDC-2B, DDC/CI, RoHS, WEEE, PSE Mark, REACH, TUV Bauart, ERP, VCCI Class B, EAC, REACH SvHC, UKCA",TCO Certified Displays 9,,,5.1 kg,"16,7 millions de couleurs",,,,1300:1 / 80000000:1 (dynamique),Mat,"Hauteur, pivot (rotation), pivotant, inclinaison",,,,Full HD (1080p) 1920 x 1080 à 100 Hz,,,,,,,,,,,,,,,,0.5 ms (MPRT),CA 100-240 V (50/60 Hz),,,,,IPS,,,,,,,
