id,nom,marque,caracteristiques,prix,Affichage,Agrafeuse,AirPrint activé,Alimentation,Assembleuse,Avertissement sur les couleurs de l'image,Balayage,Capacité de support standard,Capacité des bacs de sortie,Capacité du bac de dérivation,Capacité du chargeur de documents,Capacité max. du support,Capacité totale,Catégorie de résolution d'impression maximale,Catégorie de résolution de copie maximale,Certification Microsoft,Classe de taille de support,Codes à barres,Configuration requise,Couleur du boîtier,Cycle d'utilisation mensuel (maxi),Disponibilité de la connexion,Empileuse,Fonctionnalités de l'imprimante,Fonctions de l'article de bureau,Garantie du fabricant,Gestion des supports,Impression recto-verso automatique,Interface,Langage(s) d'impression,Localisation,Normes environnementales,Poids,Processeur,RAM installée (maximum),Relieuse,Réseaux,Résolution d'impression maximale,Résolution de reproduction maximale,Résolution maximum (N&B),Résolutions du télécopieur,Système de compression des données,Taille de l'écran de prévisualisation,Taille du support,Taille initiale,Taille max. du support,Taille maximum du support (personnalisée),Taille minimale du support (personnalisée),Technique d'amélioration de l'image,Technologie d'impression,Type d'imprimante,Type d'origine,Type de photocopieuse,Type de supports,Type de tarification,Type de télécopieur,Vitesse d'impression,Vitesse d'impression max.,Vitesse de reproduction maximale,Vitesse de transmission de télécopie maximale,Volume mensuel recommandé
5286780,HP Color Laser MFP 179fnw,HP INC,"Imprimante multifonctions - couleur - laser - A4 (210 x 297 mm) (original) - A4/Letter (support) - jusqu'à 14 ppm (copie) - jusqu'à 18 ppm (impression) - 150 feuilles - 33.6 Kbits/s - USB 2.0, LAN, Wi-Fi(n)",358.0,,,,CA 230 V (50/60Hz),,,600 x 600 ppp,150 feuilles,50 feuilles,,40 feuilles,,,,,,,,,,20000 pages,Oui,,,"Impression directe sans fil, compatible avec AirPrint, certification Mopria, Impression Mobile, numérisation vers PC, Google Cloud Print",1 an de garantie,,,"USB 2.0, LAN, Wi-Fi(n)",,"Anglais, allemand, français, italien, espagnol / Europe",,14.08 kg,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,"203 x 98 ppp, 203 x 196 ppp, 300 x 300 ppp",,,76 x 148.5 mm (min.) - 216 x 356 mm (maximum),A4 (210 x 297 mm) (maximum),,,,,Laser (couleur),,Feuilles,,"Étiquettes, papier recyclé, papier, papier lourd, papier à grammage très élevé, papier à faible grammage, papier brillant, papier préimprimé, papier coloré",,Papier uni,,Jusqu'à 18 ppm (mono)/jusqu'à 4 ppm (couleur),Jusqu'à 14 ppm (mono)/jusqu'à 4 ppm (couleur),33.6 Kbits/s,100 - 500 pages
8669969,Brother DCP-L2620DW,BROTHER,"L2620DW - Imprimante multifonctions - Noir et blanc - laser - Letter A (216 x 279 mm)/A4 (210 x 297 mm) (original) - A4/Legal (support) - jusqu'à 32 ppm (copie) - jusqu'à 32 ppm (impression) - 250 feuilles - USB 2.0, Wi-Fi(n)",179.0,,,,AC 220-240 V (50/60Hz),,,1200 x 1200 ppp,250 feuilles,120 feuilles,1 feuille,,,,Jusqu'à 1200 x 1200 ppp,Jusqu'à 600 x 600 ppp,,,,,,,Oui,,,"Numérisation vers e-mail, numérisation vers OCR, numérisation vers image, numériser vers un dossier, numérisation vers réseau, numérisation au format SharePoint",1 an de garantie (France - 2 ans),,Oui (impression),"USB 2.0, Wi-Fi(n)",,,"ENERGY STAR, Blue Angel",10.1 kg,,,,,Jusqu'à 1200 x 1200 ppp,Jusqu'à 600 x 600 ppp,,,,,76.2 x 127 mm (min.) - 215.9 x 355.6 mm (maximum),Letter A (216 x 279 mm)/A4 (210 x 297 mm) (maximum),,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier fin, papier épais, papier recyclé, papier, étiquettes, enveloppes",,,,Jusqu'à 32 ppm,Jusqu'à 32 ppm,,Up to 2500 pages
6382595,Xerox C235,XEROX,"Imprimante multifonctions - couleur - laser - Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 22 ppm (impression) - 250 feuilles - 33.6 Kbits/s - USB 2.0, LAN, Wi-Fi(n), hôte USB 2.0 - programme de retours Green World Alliance",469.62,"2.4""",,Oui,,,,600 x 600 ppp,250 feuilles,120 feuilles,1 feuille,40 feuilles,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,,,,,30000 pages,Oui,,,"Numérisation vers e-mail, numérisation vers réseau, numérisation vers FTP, scan vers hôte USB, numérisation vers PDF, One Touch Scan, mise en page de livret, collation, mode brouillon, Paramètres du pilote Earth Smart, impression N-Up, type de travail normal, One Touch UI, orientation, ID de travail d'impression dans les marges, faire pivoter l'image de 180 degrés, paramètres enregistrés, état du bac et du toner, filigrane",1 an de garantie,,Oui (impression),"USB 2.0, LAN, Wi-Fi(n), hôte USB 2.0",,,"ENERGY STAR, Blue Angel",19.4 kg,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,,"MH, MR, MMR, JBIG",,216 x 340 mm (maximum),Legal (216 x 356 mm) (maximum),,,,,Laser (couleur),,Feuilles,,"Enveloppes, papier uni, étiquettes, papier recyclé, papier lourd, carte-copie, papier à faible grammage, papier brillant, papier en coton, papier préimprimé, papier coloré, papier à en-tête",Programme de retours Xerox Green World Alliance,Super G3 - papier uni,,Jusqu'à 22 ppm (mono)/jusqu'à 22 ppm (couleur),,33.6 Kbits/s,1500 pages
6382551,Xerox B225,XEROX,"Imprimante multifonctions - Noir et blanc - laser - A4/Legal (support) - jusqu'à 34 ppm (impression) - 250 feuilles - USB 2.0, LAN, Wi-Fi(n), hôte USB 2.0 - programme de retours Green World Alliance",289.64,,,Oui,,,,1200 x 1200 ppp,250 feuilles,150 feuilles,1 feuille,50 feuilles,,,Jusqu'à 600 x 600 ppp,Jusqu'à 600 x 600 ppp,,,,,,30000 pages,Oui,,,"Mise en page de livret, collation, mode brouillon, Paramètres du pilote Earth Smart, impression N-Up, type de travail normal, One Touch UI, orientation, ID de travail d'impression dans les marges, faire pivoter l'image de 180 degrés, paramètres enregistrés, état du bac et du toner, filigrane, One Touch Scan, numérisation vers PC, numérisation vers e-mail",1 an de garantie,,Oui (impression),"USB 2.0, LAN, Wi-Fi(n), hôte USB 2.0",,,"ENERGY STAR, Blue Angel",10 kg,,,,,Jusqu'à 600 x 600 ppp,Jusqu'à 600 x 600 ppp,,,,,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",,,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier à faible grammage, papier lourd, carte-copie, étiquettes, enveloppes, papier coloré, papier à en-tête, papier préimprimé, papier brillant, papier en coton, papier recyclé",Programme de retours Xerox Green World Alliance,,,Jusqu'à 34 ppm,,,2500 pages
6197386,HP Color LaserJet Enterprise MFP M480f,HP INC,"Imprimante multifonctions - couleur - laser - Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 27 ppm (copie) - jusqu'à 27 ppm (impression) - 300 feuilles - 33.6 Kbits/s - USB 2.0, Gigabit LAN, hôte USB 2.0",840.26,"4.3""",,Oui,CA 230 V,,,600 x 600 ppp,300 feuilles,150 feuilles,,50 feuilles,,,,,,,,,,55000 pages,Oui,,,"Sauvegarde sur lecteur flash USB, numérisation vers e-mail, enregistrer vers le dossier réseau, technologie Instant-on, HP Auto-On/Auto-Off Technology, logement pour verrou de sécurité, Instant-on Copy, impression à partir d'appareil mobile, numérisation vers PDF",1 an de garantie,,Oui (copie) Oui (impression) Oui (numérisation),"USB 2.0, Gigabit LAN, hôte USB 2.0",,"Anglais, allemand, français, italien, espagnol / Europe","EPEAT Silver, ENERGY STAR",,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,"203 x 98 ppp, 203 x 196 ppp, 300 x 300 ppp, 203 x 392 ppp",,,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",Legal (216 x 356 mm) (maximum),,,,,Laser (couleur),,Feuilles,,"Enveloppes, papier uni, étiquettes, papier recyclé, papier photo, papier, papier brillant, papier préimprimé, cartes postales, papier coloré, papier à en-tête, papier préperforé",,Papier uni,,Jusqu'à 27 ppm (mono)/jusqu'à 27 ppm (couleur),Jusqu'à 27 ppm (mono)/jusqu'à 27 ppm (couleur),33.6 Kbits/s,900 - 4800 pages
8244828,HP Color LaserJet Pro MFP 4302fdn Prntr,HP INC,"Imprimante multifonctions - couleur - laser - Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 35 ppm (copie) - jusqu'à 35 ppm (impression) - 300 feuilles - 33.6 Kbits/s - USB 2.0, Gigabit LAN",677.5,"4.3""",,Oui,CA 120 V (50Hz),,,600 x 600 ppp,300 feuilles,150 feuilles,50 feuilles,50 feuilles,850 feuilles,,,,,,,,,50000 pages,Oui,,,"HP Auto-On/Auto-Off Technology, technologie Instant-on, sauvegarde sur lecteur flash USB, impression à partir d'un lecteur flash USB, numérisation vers e-mail, numériser vers un dossier, certification Mopria, enregistrer vers le dossier réseau",1 an de garantie,,Oui (impression),"USB 2.0, Gigabit LAN",,"Anglais, allemand, espagnol, français, italien / Europe",,20.4 kg,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,"203 x 196 ppp, 300 x 300 ppp, 200 x 100 ppp",,,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",102 x 152 mm (min.) - Legal (216 x 356 mm) (maximum),,,,,Laser (couleur),,Feuilles,,"Transparents, enveloppes, papier uni, cartes, étiquettes, papier recyclé, papier photo, papier, papier brillant",,Papier uni,,Jusqu'à 35 ppm (mono)/jusqu'à 33 ppm (couleur),Jusqu'à 35 ppm (mono)/jusqu'à 35 ppm (couleur),33.6 Kbits/s,750 - 4 000 pages
6382570,Xerox B235,XEROX,"Imprimante multifonctions - Noir et blanc - laser - A4/Legal (support) - jusqu'à 34 ppm (impression) - 250 feuilles - 33.6 Kbits/s - USB 2.0, LAN, Wi-Fi(n), hôte USB 2.0 - programme de retours Green World Alliance",356.39,,,Oui,,,,1200 x 1200 ppp,250 feuilles,150 feuilles,1 feuille,50 feuilles,,,Jusqu'à 600 x 600 ppp,Jusqu'à 600 x 600 ppp,,,,,,30000 pages,Oui,,,"Mise en page de livret, collation, mode brouillon, Paramètres du pilote Earth Smart, impression N-Up, type de travail normal, One Touch UI, orientation, ID de travail d'impression dans les marges, faire pivoter l'image de 180 degrés, paramètres enregistrés, état du bac et du toner, filigrane, One Touch Scan, scan vers hôte USB, numérisation vers PC, numérisation vers e-mail",1 an de garantie,,Oui (impression),"USB 2.0, LAN, Wi-Fi(n), hôte USB 2.0",,,"ENERGY STAR, Blue Angel",10 kg,,,,,Jusqu'à 600 x 600 ppp,Jusqu'à 600 x 600 ppp,,,"MH, MR, MMR, JBIG",,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",,,,,,Laser (monochrome),,Feuilles,,"Papier uni, papier à faible grammage, papier lourd, carte-copie, étiquettes, enveloppes, papier coloré, papier à en-tête, papier préimprimé, papier brillant, papier en coton, papier recyclé",Programme de retours Xerox Green World Alliance,Super G3 - papier uni,,Jusqu'à 34 ppm,,33.6 Kbits/s,2500 pages
8669963,Brother MFC-L8390CDW,BROTHER,"L8390CDW - Imprimante multifonctions - couleur - LED - A4/Legal (support) - jusqu'à 30 ppm (copie) - jusqu'à 30 ppm (impression) - 280 feuilles - 33.6 Kbits/s - USB 2.0, Gigabit LAN, hôte USB 2.0, NFC, Wi-Fi(n)",539.0,,,Oui,CA 230 V (50/60Hz),,,1200 x 1200 ppp,280 feuilles,150 feuilles,30 feuilles,50 feuilles,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,,,,,,Oui,,,"Numérisation vers e-mail, numérisation vers OCR, numérisation vers image, numériser vers un dossier, numérisation vers le dossier du réseau, numérisation vers FTP, numérisation au format SharePoint, numérisation vers SMB, numérisation vers serveur d'e-mail, numérisation vers sFTP, scan vers hôte USB, impression à partir d'un lecteur flash USB",Garantie de 3 ans (France - 2 ans),,Oui (copie) Oui (impression) Oui (numérisation),"USB 2.0, Gigabit LAN, hôte USB 2.0, NFC, Wi-Fi(n)",,,Blue Angel,21.9 kg,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,,,,"76.2 x 116 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",,,,,,LED (couleur),,Feuilles,,"Papier uni, papier fin, papier épais, papier recyclé, papier, étiquettes, enveloppes, papier brillant",,Super G3 - papier uni,,Jusqu'à 30 ppm (mono)/jusqu'à 30 ppm (couleur),Jusqu'à 30 ppm (mono)/jusqu'à 30 ppm (couleur),33.6 Kbits/s,Up to 4000 pages
8244833,HP Color LaserJet Pro MFP 4302fdw Prntr,HP INC,"Imprimante multifonctions - couleur - laser - Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 33 ppm (copie) - jusqu'à 33 ppm (impression) - 300 feuilles - 33.6 Kbits/s - Gigabit LAN, USB 2.0, hôte USB 2.0, Wi-Fi(ac), Bluetooth, USB",707.36,"4.3""",,Oui,CA 230 V (50/60Hz),,,600 x 600 ppp,300 feuilles,150 feuilles,50 feuilles,50 feuilles,850 feuilles,,,,,,,,,50000 pages,Oui,,,"HP Auto-On/Auto-Off Technology, certification Mopria, numérisation vers e-mail, numérisation vers PDF, cartouche Terrajet, HP Instant Ink, numériser vers le Cloud, numériser vers un dossier, impression USB directe, numérisation vers un lecteur USB, impression Confidentiel, HP Auto Wireless Connect, technologie Instant-on",1 an de garantie,,Oui (impression),"Gigabit LAN, USB 2.0, hôte USB 2.0, Wi-Fi(ac), Bluetooth LE, USB",,"Anglais, allemand, espagnol, français, italien / Europe",Blue Angel,20.4 kg,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,"300 x 300 ppp, 203 x 196 ppp, 200 x 100 ppp",,,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",102 x 152 mm (min.) - Legal (216 x 356 mm) (maximum),,,,,Laser (couleur),,Feuilles,,"Transparents, enveloppes, papier uni, cartes, étiquettes, papier recyclé, papier photo, papier, papier brillant",,Papier uni,,Jusqu'à 33 ppm (mono)/jusqu'à 33 ppm (couleur),Jusqu'à 33 ppm (mono)/jusqu'à 33 ppm (couleur),33.6 Kbits/s,750 - 4 000 pages
8244834,HP Color LaserJet Pro MFP 4302dw Prntr,HP INC,"Attention : Scan recto-verso manuel et non automatique. Imprimante multifonctions - couleur - laser - Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 33 ppm (copie) - jusqu'à 33 ppm (impression) - 300 feuilles - USB, USB 2.0, Gigabit LAN, hôte USB 2.0, Wi-Fi(ac), Bluetooth",567.08,"4.3""",,Oui,CA 230 V (50/60Hz),,,600 x 600 ppp,300 feuilles,150 feuilles,50 feuilles,50 feuilles,850 feuilles,,,,,,,,,50000 pages,Oui,,,"HP Auto-On/Auto-Off Technology, certification Mopria, numérisation vers e-mail, numérisation vers PDF, cartouche Terrajet, HP Instant Ink, numériser vers le Cloud, numériser vers un dossier, impression USB directe, numérisation vers un lecteur USB, impression Confidentiel, HP Auto Wireless Connect, technologie Instant-on",1 an de garantie,,Oui (impression),"Gigabit LAN, USB 2.0, hôte USB 2.0, Wi-Fi(ac), Bluetooth LE",,"Anglais, allemand, espagnol, français, italien / Europe",Blue Angel,20.4 kg,,,,,Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),Jusqu'à 600 x 600 ppp (mono)/jusqu'à 600 x 600 ppp (couleur),,,,,"76 x 127 mm (min.) - Legal (216 x 356 mm), A4 (210 x 297 mm) (maximum)",102 x 152 mm (min.) - Legal (216 x 356 mm) (maximum),,,,,Laser (couleur),,Feuilles,,"Transparents, enveloppes, papier uni, cartes, étiquettes, papier recyclé, papier photo, papier, papier brillant",,,,Jusqu'à 33 ppm (mono)/jusqu'à 33 ppm (couleur),Jusqu'à 33 ppm (mono)/jusqu'à 33 ppm (couleur),,750 - 4 000 pages
