id,nom,marque,caracteristiques,prix,Alimentation,Alimentation redondante,Appareils intégrés,Capacité,Caractéristiques,Catégorie,Compatibilité,Compatibilité TTA,Contrôleur de stockage,Contrôleur de stockage Quantité,Conçu pour,Couleur,Disponibilité de service,Dispositifs de sécurité,Disque dur,Durée totale de contrat,Format,Fourni avec,Garantie du fabricant,Hauteur (unités de rack),Interface,Lecteurs pris en charge,Lieu d'intervention,Localisation,Localisation et disposition,Nbre de licences,Nom de logiciel,Nombre de touches spéciales,Placage du connecteur,Plate-forme,Poids,Programme de ventes par le fabricant,Périphériques installés / Nbre de modules,Référence équivalente à celle du fabricant d'origine,Rétroéclairé,Service compris,Service et maintenance,Technologie de connectivité,Temps de latence,Temps de réponse,Tension,Type,Type d'emballage,Type de Produit,Type de boîtier,Type de mise à niveau,Type de mémoire,Type de tarification,Version,Vitesse,Vérification de l'Intégrité des Données
5808543,Crucial 16GB DDR4-3200 UDIMM CL22 (8Gbit/16Gbit),MICRON,Crucial - DDR4 - module - 16 Go - UDIMM 288 broches - 3200 MHz / PC4 -25600 - CL 12 -1.2 V - mémoire sans tampon - no ECC,91.26,,,,16 Go,Mémoire sans tampon,,,,,,,,,,,,,,Garantie limitée à vie (Allemagne - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,3200 MT/s (PC4-25600),Non ECC
5808549,Crucial 8GB DDR4-3200 UDIMM CL22 (8Gbit/16Gbit),MICRON,Crucial - DDR4 - module - 8 Go - UDIMM 288 broches - 3200 MHz / PC4 -25600 - CL 22 -1.2 V - mémoire sans tampon - no ECC,45.63,,,,8 Go,Mémoire sans tampon,,,,,,,,,,,,,,Garantie limitée à vie (Allemagne - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,3200 MT/s (PC4-25600),Non ECC
5808556,Crucial,MICRON,DDR4 - kit - 32 Go: 2 x 16 Go - SO DIMM 260 broches - 3200 MHz / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC,182.51,,,,32 Go: 2 x 16 Go,Mémoire sans tampon,,,,,,,,,,,,,,Garantie limitée à vie (Allemagne - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Kit mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MHz (PC4-25600),Non ECC
5820307,Kingston ValueRAM,KINGSTON,"DDR4 - module - 16 Go - SO DIMM 260 broches - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC - pour Intel Next Unit of Computing 12 Pro Kit - NUC12WSHi3, 12 Pro Kit - NUC12WSKi5",95.94,,,,16 Go,"Un rang, mémoire sans tampon",,,,,,"Intel Next Unit of Computing 12 Pro Kit - NUC12WSHi3, 12 Pro Kit - NUC12WSKi5",,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MT/s (PC4-25600),Non ECC
5804096,Kingston,KINGSTON,DDR4 - module - 16 Go - SO DIMM 260 broches - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC,101.65,,,,16 Go,"Deux rangs, mémoire sans tampon",,,,,,,,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,Or,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MT/s (PC4-25600),Non ECC
5822248,Crucial,MICRON,DDR4 - module - 32 Go - SO DIMM 260 broches - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC,182.51,,,,32 Go,"Deux rangs, mémoire sans tampon",,,,,,,,,,,,,,Garantie limitée à vie (Allemagne - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MT/s (PC4-25600),Non ECC
5820410,Kingston,KINGSTON,DDR4 - module - 16 Go - SO DIMM 260 broches - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC,101.65,,,,16 Go,"Un rang, mémoire sans tampon",,,,,,,,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MT/s (PC4-25600),Non ECC
8396829,Crucial Pro 64GB Kit (2x32GB) DDR4-3200 UDIMM CL22 (16Gbit),MICRON,Crucial Pro - DDR4 - Kit - 64 Go: 2 x 32 Go - UDIMM 288 broches - 3200 MHz / PC4 -25600 - CL 22 -1.2 V - mémoire sans tampon,379.07,,,,64 Go: 2 x 32 Go,"Intel Extreme Memory Profiles (XMP 2.0), mémoire sans tampon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Kit mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,3200 MT/s (PC4-25600),
6014735,Kingston,KINGSTON,DDR4 - module - 8 Go - SO DIMM 260 broches - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC,53.01,,,,8 Go,"Un rang, mémoire sans tampon",,,,,,,,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,,,,,,,,,,,CL22,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MT/s (PC4-25600),Non ECC
5490985,Kingston ValueRAM,KINGSTON,"DDR4 - module - 8 Go - SO DIMM 260 broches - 3200 MT/s / PC4-25600 - CL22 - 1.2 V - mémoire sans tampon - non ECC - pour Intel Next Unit of Computing 11, 12",50.38,,,,8 Go,"Un rang, terminaison intégrée (ODT), Serial Presence Detect (SPD), seize banques, rafraîchissement automatique faible puissance (LPASR), support de mode DBI, mémoire sans tampon",,,,,,"Intel Next Unit of Computing 11 Essential Kit - NUC11ATKPE, 12 Enthusiast Mini PC - NUC12SNKi72VA, 12 Pro Kit - NUC12WSHi3, 12 Pro Kit - NUC12WSKi5",,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,Or,,,,,,,,,,CL22 (22-22-22),,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MT/s (PC4-25600),Non ECC
