id,nom,marque,caracteristiques,prix,API  prises en charge,Accessoires inclus,Affichage,Alimentation,Ancrable,Appareil d'entrée,Avertissement sur les couleurs de l'image,Batterie,Cache par processeur,Capteurs,Caractéristiques,Caractéristiques principales du processeur,Cartes mémoire flash prises en charge,Clavier,Clavier numérique,Contrôleur de stockage,Contrôleur graphique,Copilot+ PC,Couleur,Couleur du boîtier,Dimensions (LxPxH) - tablette,Disque dur,Débit d'absorption spécifique (DAS),Détails d'interface,Empreinte carbone,Fonctionnalités,Fonctions,Fourni avec,Fournisseur de services,Garantie du fabricant,Graphique,Horloge améliorée (OC),Horloge boostée,Indice de réparabilité,Intelligence Apple,Interface mémoire,Jeu,Localisation,Logiciel(s) inclus,Matériaux de terres rares,Microsoft Copilot,Moniteur,Moteur graphique,Mémoire,Mémoire cache,Mémoire interne,Mémoire vidéo,Nombre de boutons,Nombre maximum de moniteurs,Normes environnementales,Noyaux CUDA,Performances,Poids,Processeur,Programme de ventes par le fabricant,Prêt pour la réalité virtuelle,RAM,Réseau,Réseaux,Résolution,Résolution maximale,Rétroéclairage du clavier,Services inclus,Stockage,Stockage optique,Support,Système d'exploitation,Système d'exploitation fourni,Système d'exploitation requis,Sécurité,Technologie de Plate-forme,Technologie de connectivité,Technologie de détection de mouvements,Transmission à large bande sans fil,Type,Type d'emballage,Type de Produit,Type de bus,Type de tarification,Unité de traitement neural (NPU),Vitesse de la mémoire,Webcam intégrée
11812917,Acer Aspire Lite 15 AL15-32P,ACER,"32P - Intel Celeron - N4500 / jusqu'à 2.8 GHz - Win 11 Home in S mode - UHD Graphics - 4 Go RAM - 128 Go eMMC - 15.6"" IPS 1920 x 1080 (Full HD) - Wi-Fi 5 - argent - clavier : Français",226.0,,,"15.6"" 1920 x 1080 / Full HD @ 60 Hz - mat",,,,L'image du produit peut être d'une couleur différente,,,,,,,Français,Oui,,,,Argent,,,,2 W/kg (head) ¦ 2 W/kg (body) ¦ 2 W/kg (membre),,,,,,,Garantie limitée - 2 ans ¦ Garantie pour voyageurs internationaux - 1 an,Intel UHD Graphics,,,,,,,Région : France,,,,,,4 Go LPDDR4X (la mémoire fournie est soudée),,,,,,,,,1.6 kg,"Intel Celeron N4500 / 1.1 GHz, jusqu'à 2.8 GHz / 4 Mo Cache",,,,,"802.11a/b/g/h/n/ac, Bluetooth 5.0",,,,,128 Go eMMC,,,Win 11 Home in S mode,,,,,,,,,,Ordinateur portable,,,,,Oui
11848296,HP Laptop 15-fd0142nf,HP INC,HP Laptop 15-fd0142nf France - French localization Core i5-1334U (Copilot) 16GB DDR4 2DM 3200 512GB PCIe value Intel Iris Xe OST W11H6 PLS 15.6 FHD (1920x1080) AG ultraslim SVA 250 nits Narrow Border,539.1,,,"15.6"" 1920 x 1080 / Full HD",,,Application ImagePad,,3 cellules - jusqu'à 9.75 heures,,,,,,Français,Oui,,,,"Argent naturel, gris doux (clavier)",,,,,,140 kg d'émissions de carbone,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,Carte graphique Intel Iris Xe,,,5.7 (sur 10),,,,Langue : français / région : France,,,,,,16 Go DDR4 (2 x 8 Go (non accessible au client/évolutif)),,,,,,ENERGY STAR EPEAT Gold,,,1.59 kg,Intel Core i5 (13ème génération) - i5-1334U jusqu'à 4.6 GHz / 12 Mo Cache,,,,,"802.11a/b/g/n/ac/ax, Bluetooth 5.4",,,,,512 Go SSD - NVMe,,,Win 11 Home - Anglais/Français,,,,,,,,,,Ordinateur portable,,,,,Oui
11870677,HP ProBook 4 G1iR Notebook,HP INC,"Conception de charnière à 177 degrés - Intel Core 5 - 120U / jusqu'à 5 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - argent de brochet - clavier : Français - avec HP Wolf Pro Security Edition (1 an)",829.0,,,"16"" WLED 1920 x 1200 / WUXGA @ 60 Hz",,,ClickPad,,3 cellules,,,,,,Français,Oui,,,,Argent de brochet,,,,,,,,"HP Sure Platform, capteur à effet Hall, capteur thermique, HP Tamper Lock",HP Wolf Pro Security Edition (1 an),,,Intel Graphics,,,8.3 (sur 10),,,,Langue : français / région : France,,,Yes,,,16 Go DDR5 (1 x 16 GB),,,,,,"ENERGY STAR EPEAT Gold, EPEAT Climate+",,,1.74 kg,"Intel Core 5 (Série 1) - 120U / 1.4 GHz, jusqu'à 5 GHz / 12 Mo Cache",HP Smart Buy,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,,512 Go SSD - NVMe,,,Win 11 Pro - Anglais/Français,,,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 177 degrés,,,,,Oui
8630549,Lenovo V15 G4 IRU,LENOVO,"Lenovo V15 G4 IRU - Intel® Core i5-13420H (E-cores up to 3.40 GHz), - 15.6 1920x1080  Non-Touch, - Windows 11 Pro 64, - 8.0GB, 1x256GB SSD M.2 2242 PCIe Gen4 TLC, - Business Black, - Intel® UHD Graphics, BT 5.1 or above, - Wi-Fi 5 2x2 AC, - 720P HD, - 2 Cell Li-Pol 38Wh, - 1CourierCarryin",685.91,,,"15.6"" 1920 x 1080 / Full HD @ 60 Hz",,,,,Jusqu'à 7.5 heures,,,,,,Français,Oui,,,,Noir business,,,,,,,,,,,Garantie limitée - 1 an - enlèvement et retour,Intel UHD Graphics,,,7.3 (sur 10),,,,Langue : français / région : France,,,,,,8 Go DDR4 (la mémoire fournie est soudée),,,,,,ENERGY STAR,,,1.67 kg,"Intel Core i5 (12ème génération) - 13420H / 2.1 GHz, jusqu'à 4.6 GHz / 12 Mo Cache",Lenovo TopSeller,,,,"802.11a/b/g/n/ac, Bluetooth 5.1, Gigabit Ethernet",,,,,256 Go SSD - NVMe,,,Win 11 Pro - français,,,Firmware Trusted Platform Module (TPM 2.0) Security Chip,,,,,,,Ordinateur portable,,,,,Oui
11802315,Lenovo ThinkPad E14 Gen 7 21SX,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 5 - 225U / jusqu'à 4.8 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe - 14"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir - clavier : Français - avec 1 an de support Premier Lenovo",1035.29,,,"14"" 1920 x 1200 / WUXGA @ 60 Hz",,,,,,,,,,,Français,,,,,Noir,,,,,,,,,,,Garantie de base - 1 an - enlèvement et retour ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,Intel Graphics,,,,,,,Langue : français / région : France,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",,,1.34 kg,Intel Core Ultra 5 (Série 2) - 225U jusqu'à 4.8 GHz / 12 Mo Cache,TopSeller,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,1 an de support Premier Lenovo,"512 Go SSD - TCG Opal Encryption 2, NVMe",,,Win 11 Pro - français,,,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Intel AI Boost - jusqu'à 12 TOPS,,Oui
30046508,UNBW,UNBW,UNBW/LenovoV15 G4 15.6 i5 16/512GB W11P,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11561011,Apple MacBook Air,APPLE,"M4 - Apple M4 8-core - 16 Go RAM - 256 Go SSD - 13.6"" IPS 2560 x 1664 (WQXGA) - Wi-Fi 6E, Bluetooth - bleu ciel - clavier : Français",999.17,,,"13.6"" 2560 x 1664 / WQXGA - 224 ppi",,,Tablette tactile Force Touch,,Jusqu'à 18 heures,,,,,,Français,,,,,Bleu ciel,,,,,,120 kg d'émissions de carbone,,Détecteur de lumière ambiante,,,Garantie limitée - 1 an ¦ Support technique - support téléphonique - 90 jours,Apple M4 8-core,,,,Oui,,,"Langue : français / région : Belgique, Luxembourg, France",,99 % d'éléments de terre rare recyclés,,,,16 Go (mémoire unifiée),,,,,,ENERGY STAR EPEAT Gold,,,1.24 kg,Apple M4,,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3",,,Oui,,256 Go SSD,,,macOS Sequoia 15.0,,,Lecteur d'empreintes digitales,,,,,,,Ordinateur portable,,,16-core Neural Engine,,Oui
11802305,Lenovo ThinkPad E16 Gen 3 21SR,LENOVO,"Conception de charnière à 180 degrés - Intel Core Ultra 5 - 225U / jusqu'à 4.8 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD TCG Opal Encryption 2, NVMe - 16"" IPS 1920 x 1200 - Gigabit Ethernet - Wi-Fi 6E, Bluetooth - noir - clavier : Français - avec 1 an de support Premier Lenovo",1035.29,,,"16"" 1920 x 1200 / WUXGA @ 60 Hz",,,,,,,,,,,Français,Oui,,,,Noir,,,,,,,,,,,Garantie de base - 1 an - enlèvement et retour ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,Intel Graphics,,,,,,,Langue : français / région : France,,,,,,16 Go DDR5 (1 x 16 GB),,,,,,"TCO Certifié, génération 10, pour ordinateurs portables, ENERGY STAR EPEAT Gold",,,1.63 kg,Intel Core Ultra 5 (Série 2) - 225U jusqu'à 4.8 GHz / 12 Mo Cache,TopSeller,,,,"802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3, Gigabit Ethernet",,,Oui,1 an de support Premier Lenovo,"512 Go SSD - TCG Opal Encryption 2, NVMe",,,Win 11 Pro - français,,,"Discrete Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable - conception de charnière à 180 degrés,,,Intel AI Boost - jusqu'à 12 TOPS,,Oui
11836931,Dell 16 DC16250,DELL,"Intel Core 5 - 120U / jusqu'à 5 GHz - Win 11 Pro - Intel Graphics - 16 Go RAM - 512 Go SSD NVMe - 16"" 1920 x 1200 (Full HD Plus) - Wi-Fi 6 - noir de charbon - BTS - avec 1 an basique sur site",579.18,,,"16"" 1920 x 1200 / Full HD Plus @ 60 Hz - 141 ppi",,,,,3 cellules,,,,,,,Oui,,,,Noir de charbon,,,,,,98.6 kg d'émissions de carbone,,Accéléromètre,,,,Intel Graphics,,,7.6 (sur 10),,,,,,,,,,16 Go DDR5 (2 x 8 Go),,,,,,,,,1.88 kg,"Intel Core 5 (Série 1) - 120U / 1.4 GHz, jusqu'à 5 GHz / 12 Mo Cache",Dell Smart Selection,,,,"802.11a/b/g/n/ac/ax, Bluetooth",,,Oui,1 an basique sur site,512 Go SSD - NVMe,,,Win 11 Pro,,,"Trusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales",,,,,,,Ordinateur portable,,Build To Stock (BTS),,,Oui
11848295,HP Laptop 15-fc0150nf,HP INC,HP 15-fc0150nf Ryzen 5-7520U (Copilot) 16GB 5500 LPDDR5 on-board 1TB PCIe Value AMD Radeon Graphics 15.6 FHD (1920x1080) W11 Home,539.1,,,"15.6"" 1920 x 1080 / Full HD",,,Application ImagePad,,3 cellules - jusqu'à 11.5 heures,,,,,,Français,Oui,,,,"Argent naturel, gris doux (clavier)",,,,,,,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,AMD Radeon 610M,,,5.6 (sur 10),,,,Langue : français / région : France,,,,,,16 Go LPDDR5 (la mémoire fournie est soudée),,,,,,ENERGY STAR EPEAT Gold,,,1.59 kg,"AMD Ryzen 5 7520U / 2.8 GHz, jusqu'à 4.3 GHz / 4 Mo Cache",,,,,"802.11a/b/g/n/ac/ax, Bluetooth 5.3",,,,,1 To SSD - NVMe,,,Win 11 Home - Anglais/Français,,,,,,,,,,Ordinateur portable,,,,,Oui
