id,nom,marque,caracteristiques,prix,Accessoires inclus,Alimentation,Alimentation redondante,Appareils intégrés,Bande cellulaire,Bande de fréquence,Batterie,Budget PoE,Caméras IP prises en charge,Capacité,Capacité d'alimentation,Caractéristiques,Catégorie,Compatibilité TTA,Configuration requise,Connecteur,Connecteur (deuxième extrémité),Connecteurs,Connecteurs (deuxième extrémité),Connecteurs d'entrée,Conçu pour,Couleur,Courant électrique max.,Câble,Dimensions d'ordinateur portable prises en charge,Disque dur,Disque(s) dur(s) pris en charge,Distance de transfert max.,Débit de transfert de données,Débit de transfert max.,Détails du dispositif d'alimentation,Fonctionnalité VoIP,Fonctionne avec Chromebook,Fonctions,Format,Format de compression,Fourni avec,Fréquence d'images,Garantie du fabricant,Génération,Hauteur (unités de rack),Informations sur la licence,Interface de station d'accueil,Interfaces de téléphonie,Interfaces vidéo,Intérieur / Extérieur,Localisation,Longueur,Longueur du câble,Matériau du produit,Moyen de transmission,Mémoire flash,Nbre de licences,Nombre d'utilisateurs KVM,Nombre de modules de serveurs lames pris en charge,Nombre de ports,Nombre de ports WAN,Normes de conformité,Normes environnementales,Performances,Poids,Ports,Ports auxiliaires,Positionnement/montage,Power Over Ethernet (PoE),Prise en charge de l'alimentation sous Ethernet (PoE),Prise en charge fournie,Processeur,Programme d'octroi de licences,Programme de ventes par le fabricant,Protocole cellulaire,Protocole de Routage,Protocole de gestion à distance,Protocole de liaison de données,Protocole réseau / transport,Protocoles VoIP,Périphérique d'alimentation,Quantité emballée,RAM,Référence équivalente à celle du fabricant d'origine,Réseaux,Résolution d'image,Services inclus,Sous-type,Support de cadre Jumbo,Système TV,Système d'exploitation requis,Taille de la table d'adresses MAC,Tarification de licence,Technologie,Tension,Tension d'entrée,Tension de sortie,Tension fournie,Tension requise,Type,Type d'interface (bus),Type de Produit,Type de boîtier,Type de câblage,Type de fibres optiques,Type de mise à niveau,Type de mémoire,Type de prise,Type de tarification,Vitesse,Vérification de l'Intégrité des Données
7005528,HPE Aruba 6000 24G Class4 PoE 4SFP 370W Switch,HP ENT,Commutateur - Géré - 24 x 10/100/1000 (PoE+) + 4 x Gigabit SFP - flux d'air côte à côte - Montable sur rack - PoE (370 W),2294.0,,CA 100-240 V (50/60 Hz),,,,,,370 W,,Interfaces virtuelles commutées (SVI): 16 ¦ Entrées ARP: 1024 ¦ Routes IPv4 (monodiffusion): 512 ¦ Routes IPv6 (monodiffusion): 512 ¦ Groupes IGMP: 512 ¦ Groupes MLD: 512 ¦ Entrées ACL IPv4 (intrusion): 256 ¦ Entrées ACL IPv6 (intrusion): 128 ¦ Entrées ACL MAC (entrée): 256,,"Client DNS, prise en charge du réseau local (LAN) virtuel, Prise en charge MSTP, RSTP, prise en charge LACP, contrôle du flux, UDP, prise en charge de TFTP, prise en charge d'ARP, client DHCP, ICMP, prise en charge du protocole SNTP, prise en charge de BOOTP, prise en charge DiffServ, adressage IPv6, prise en charge d'IPv6, prise en charge LLDP, LLDP-MED, MIB, snooping MLD, NDP, sFlow, prise en charge SNMP, sans ventilateur, TPM, prise en charge d'ACL",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,Anglais / Europe,,,,,,,,,,,"IEEE 802.3af, IEEE 802.3at, IEEE 802.1D, IEEE 802.1p, IEEE 802.1Q, IEEE 802.1s, IEEE 802.1w, IEEE 802.3, IEEE 802.3ab, IEEE 802.3ad (LACP), IEEE 802.3az, IEEE 802.3x",,Taille de mémoire tampon de paquets: 12.38 MB ¦ Débit: 41.6 Mpps ¦ Capacité de commutation: 56 Gbps ¦ Latence (1 Gops): 1.5 µs,4.19 kg,24 x 10/100/1000 (PoE+) + 4 x Gigabit SFP,,,PoE,,,,,,,"IGMPv2, IGMPv3","RADIUS, SNMP 1, SNMP 2c, SNMP 3, HTTP, HTTPS",,,,,,,,,,,Gigabit Ethernet,9198 octets,,,8 192 entrées,,,,,,,,,,,Flux d'air côte à côte Montable sur rack 1U,,,,,,,,
2359468,D-Link DGS 108,D-LINK,Link DGS 108 - Commutateur - non géré - 8 x 10/100/1000 - de bureau,48.44,,,,,,,,,,,,"Contrôle du flux, auto-négociation, auto-uplink (MDI/MDI-X auto), filtrage des paquets, stockage et retransmission, mode semi-duplex, mode duplex intégral, QoS, fonction de diagnostic de câble, technologie D-Link Green, Energy Efficient Ethernet, fente de verrouillage de sécurité (câble de verrouillage vendu séparément), boîtier métallique",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,Europe,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3x, IEEE 802.3az",ENERGY STAR,Capacité de commutation: 16 Gbps,440 g,8 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,9000 octets,,,8 000 entrées,,,,,,,,,,,,,,,,,,,
5123264,NETGEAR GS308v3,NETGEAR,"Commutateur - non géré - 8 x 10/100/1000 - de bureau, fixation murale",30.92,,,,,,,,,,,,"Auto-uplink (MDI/MDI-X auto), auto-négociation, tampon de paquet 1,5 MB, sans ventilateur, Energy Efficient Ethernet, Green Ethernet, fente de verrouillage de sécurité (câble de verrouillage vendu séparément), contrôle du flux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEEE 802.3az, IEEE 802.3ab, IEEE 802.3u, IEEE 802.3i, IEEE 802.3x",,,400 g,8 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,4 000 entrées,,,,,,,,,,,,,,,,,,,
7005530,HPE Aruba 6000 12G Class4 PoE 2G/2SFP 139W Switch,HP ENT,Commutateur - Géré - 12 x 10/100/1000 (PoE+) + 2 x Gigabit SFP + 2 x 1000Base-T - Montable sur rack - PoE (139 W),1095.0,,CA 100-240 V (50/60 Hz),,,,,,139 W,,Interfaces virtuelles commutées (SVI): 16 ¦ Entrées ARP: 1024 ¦ Routes IPv4 (monodiffusion): 512 ¦ Routes IPv6 (monodiffusion): 512 ¦ Groupes IGMP: 512 ¦ Groupes MLD: 512 ¦ Entrées ACL IPv4 (intrusion): 256 ¦ Entrées ACL IPv6 (intrusion): 128 ¦ Entrées ACL MAC (entrée): 256,,"Client DNS, prise en charge du réseau local (LAN) virtuel, Prise en charge MSTP, RSTP, prise en charge LACP, contrôle du flux, UDP, prise en charge de TFTP, prise en charge d'ARP, client DHCP, ICMP, prise en charge du protocole SNTP, prise en charge de BOOTP, prise en charge DiffServ, adressage IPv6, prise en charge d'IPv6, prise en charge LLDP, LLDP-MED, MIB, snooping MLD, NDP, sFlow, prise en charge SNMP, sans ventilateur, TPM, prise en charge d'ACL",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,Anglais / Europe,,,,,,,,,,,"IEEE 802.3af, IEEE 802.3at, IEEE 802.1D, IEEE 802.1p, IEEE 802.1Q, IEEE 802.1s, IEEE 802.1w, IEEE 802.3, IEEE 802.3ab, IEEE 802.3ad (LACP), IEEE 802.3az, IEEE 802.3x",,"Taille de mémoire tampon de paquets: 12.38 MB ¦ Débit: 23,8 Mpps ¦ Capacité de commutation: 32 Gbps ¦ Latence (1 Gops): 2.3 µs ¦ Latence (10 Gops): 2.6 µs",2.78 kg,12 x 10/100/1000 (PoE+) + 2 x Gigabit SFP + 2 x 1000Base-T,,,PoE,,,,,,,"IGMPv2, IGMPv3","RADIUS, SNMP 1, SNMP 2c, SNMP 3, HTTP, HTTPS",,,,,,,,,,,Gigabit Ethernet,9198 octets,,,8 192 entrées,,,,,,,,,,,Montable sur rack 1U,,,,,,,,
859309,NETGEAR GS105,NETGEAR,"Netgear gs105 - commutateur - 5 ports - en, fast en, gigabit en - 10base-t, 100base-tx, 1000base-t",26.57,,,,,,,,,,,,"Contrôle du flux, Fonction duplex intégral, auto-détection par dispositif, auto-négociation, auto-uplink (MDI/MDI-X auto), stockage et retransmission, support d'images étendues",,,"Apple MacOS, Novell NetWare, Linux, Microsoft Windows",,,,,,,,,,,,,,,,,,,,,,,,Garantie à vie NETGEAR,,,,,,,,Europe,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3i, IEEE 802.3z, IEEE 802.3ab, IEEE 802.3x",,,300 g,5 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,4 000 entrées,,,,,,,,,,,,,,,,,,,
7005527,HPE Aruba 6000 48G Class4 PoE 4SFP 370W Switch,HP ENT,Commutateur - Géré - 48 x 10/100/1000 (PoE+) + 4 x Gigabit SFP - flux d'air côte à côte - Montable sur rack - PoE (370 W),3503.0,,CA 100-240 V (50/60 Hz),,,,,,370 W,,Interfaces virtuelles commutées (SVI): 16 ¦ Entrées ARP: 1024 ¦ Routes IPv4 (monodiffusion): 512 ¦ Routes IPv6 (monodiffusion): 512 ¦ Groupes IGMP: 512 ¦ Groupes MLD: 512 ¦ Entrées ACL IPv4 (intrusion): 256 ¦ Entrées ACL IPv6 (intrusion): 128 ¦ Entrées ACL MAC (entrée): 256,,"Client DNS, prise en charge du réseau local (LAN) virtuel, Prise en charge MSTP, RSTP, prise en charge LACP, contrôle du flux, UDP, prise en charge de TFTP, prise en charge d'ARP, client DHCP, ICMP, prise en charge du protocole SNTP, prise en charge de BOOTP, prise en charge DiffServ, adressage IPv6, prise en charge d'IPv6, prise en charge LLDP, LLDP-MED, MIB, snooping MLD, NDP, sFlow, prise en charge SNMP, sans ventilateur, TPM, prise en charge d'ACL",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,Anglais / Europe,,,,,,,,,,,"IEEE 802.3af, IEEE 802.3at, IEEE 802.1D, IEEE 802.1p, IEEE 802.1Q, IEEE 802.1s, IEEE 802.1w, IEEE 802.3, IEEE 802.3ab, IEEE 802.3ad (LACP), IEEE 802.3az, IEEE 802.3x",,"Taille de mémoire tampon de paquets: 12.38 MB ¦ Débit: 77,3 Mpps ¦ Capacité de commutation: 104 Gbps ¦ Latence (1 Gops): 1.9 µs",5.02 kg,48 x 10/100/1000 (PoE+) + 4 x Gigabit SFP,,,PoE,,,,,,,"IGMPv2, IGMPv3","RADIUS, SNMP 1, SNMP 2c, SNMP 3, HTTP, HTTPS",,,,,,,,,,,Gigabit Ethernet,9198 octets,,,8 192 entrées,,,,,,,,,,,Flux d'air côte à côte Montable sur rack 1U,,,,,,,,
779048,Switch 8 ports 10/100/1000,NETGEAR,Switch Netgear 8 ports 10/100/1000 (gigabit),33.2,,,,,,,,,,,,"Fonction duplex intégral, auto-détection par dispositif, auto-uplink (MDI/MDI-X auto), stockage et retransmission",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie à vie NETGEAR,,,,,,,,,,,,,,,,,,,"IEEE 802.3u, IEEE 802.3i, IEEE 802.3ab",,,0.5 kg,8 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,,,,8 000 entrées,,,,,,,,,,,,,,,,,,,
2359467,D-Link DGS 105,D-LINK,Link DGS 105 - Commutateur - 5 x 10/100/1000 - de bureau,21.31,,,,,,,,,,,,"Contrôle du flux, auto-détection par dispositif, auto-négociation, filtrage des paquets, stockage et retransmission",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3x, IEEE 802.3az",,Capacité de commutation: 10 Gbps,286 g,5 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,9000 octets,,,8 000 entrées,,,,,,,,,,,,,,,,,,,
5078713,Cisco Catalyst 9200,CISCO,Essential Edition - commutateur - intelligent - 48 x 10/100/1000 (PoE+) - Montable sur rack - PoE+ (740 W),7047.77,,CA 100-240 V,En option,,,,,740 W,,Réseaux virtuels: 4 ¦ Adresses MAC: 32000 ¦ Routes IPv4: 14000 ¦ Itinéraires IPv4 indirects: 4000 ¦ Routes directes IPv4: 10000 ¦ Entrées de table de routage IPv4: 4000 ¦ Entrées de table de routage IPv6: 2000 ¦ Échelle de multidiffusion: 1000 ¦ Entrées d'échelle ACL: 16000 ¦ Taille de tampon de paquet: 6 Mo ¦ Flexible NetFlow entries: 16000 ¦ ID de VLAN: 1000,,"QoS, RSPAN, FNF, prise en charge de MACsec, CoPP, Sampled NetFlow, SPAN, EEM, FHS, support DNA",,,Cisco IOS XE 16.9.2 ou supérieur,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,,,,,,,,,,,,"IEEE 802.3, IEEE 802.3u, IEEE 802.3z, IEEE 802.1D, IEEE 802.1Q, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3af, IEEE 802.3x, IEEE 802.3ad (LACP), IEEE 802.1w, IEEE 802.1x, IEEE 802.1s, IEEE 802.3at, IEEE 802.3bz",,"Bande passante sans fil: jusqu'à 48 Gbps ¦ Capacité de commutation: 176 Gbps ¦ Taux de transfert: 261,9 Mpps",5.5 kg,48 x 10/100/1000 (PoE+),,,PoE+,,,,,,,"OSPF, RIP, IS-IS, RIP-1, RIP-2, EIGRP, VRRP, PIM-SM, EIGRP for IPv6, OSPFv3, PIM-SSM, routage à base de règles (PBR), RIPng, MSTP","NETCONF, RESTCONF",,,,,,,,,,,Gigabit Ethernet,9198 octets,,,,,,,,,,,,,,Montable sur rack,,,,,,,,
6180576,Cisco Business 110 Series 110-8T-D,CISCO,"8T-D - Commutateur - non géré - 8 x 10/100/1000 - Montable sur rack, de bureau, fixation murale - Tension CC",54.06,,CC 12 V,,,,,,,,Capacité tampon (MB): 2,,"QoS, Energy Efficient Ethernet, blocage HOL, WRR, détection de bouclage, fonction de diagnostic de câble, auto-uplink (MDI/MDI-X auto), contrôle du flux, sans ventilateur, emplacement de sécurité (compatible avec le verrou de sécurité Kensington)",,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie limitée à vie,,,,,,,,"Espace Économique Européen, Suisse, Turquie, Russie, Ukraine, Israël, Émirats arabes unis, Égypte, Afrique du Sud, Indonésie, Philippines, Viêt-nam, Thaïlande, Corée",,,,,,,,,,,"IEEE 802.3az, IEEE 802.1p, IEEE 802.3, IEEE 802.3u, IEEE 802.3ab, IEEE 802.3z, IEEE 802.3x",,"Performances de transfert (taille de paquet 64 octets): 11,9 Gbps ¦ Capacité de commutation: 16 Gbps",430 g,8 x 10/100/1000,,,,,,,,,,,,,,,,,,,,,,Gigabit Ethernet,9216 octets,,,8 000 entrées,,,,,,,,,,,Montable sur rack,,,,,,,,
