id,nom,marque,caracteristiques,prix,Accélérateur graphique,Affichage,Affichage (2ème),Autonomie en communication,Avertissement sur les couleurs de l'image,Caméra arrière,Caméra avant,Caméra principale,Carte SIM,Carte mémoire intégrée,Cartes mémoire flash prises en charge,Catégorie SAR (Belgique),Classe énergétique,Code QR du label énergétique URL,Connecteurs,Couleur,Deuxième caméra,Deuxième caméra avant,Dispositifs de sécurité,Débit d'absorption spécifique (DAS),Délai d'attente,Empreinte carbone,Fonctions,Format,Fournisseur de services,Garantie du fabricant,Indice de réparabilité,Intelligence Apple,Interface sans fil,Localisation,Matériaux de terres rares,Modem,Mémoire,Normes de facturation sans fil,Numéro de modèle du fabricant,Poids,Processeur,Protection,Quatrième caméra,RAM,Services de messagerie,Stockage,Système d'exploitation,Troisième caméra,Type de Produit,Type de tarification,Unité de traitement neural (NPU),Écran (non déplié)
11516588,Samsung Galaxy A36 5G Noir 128 Go,SAMSUNG,"5G smartphone - double SIM - RAM 6 Go / Mémoire interne 128 Go - écran OEL - 6.7"" - 2340 x 1080 pixels (120 Hz) - 3 x caméras arrière 50 MP, 8 MP, 5 MP - front camera 12 MP - noir génial",386.1,Qualcomm ADRENO,"Écran OEL - 2340 x 1080 pixels - 6.7"" - (120 Hz) - Super AMOLED - Corning Gorilla Glass Victus+ (verre résistant aux rayures)",,,,,12 mégapixels f/2.2 - sans mise au point,50 mégapixels - objectif grand angle - f/1.8 - mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2301641,USB-C,Noir génial,8 mégapixels - lentille ultra grand angle - f/2.2,,,0.525 W/kg (head) ¦ 1.293 W/kg (body) ¦ 1.6 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,8.4 (sur 10),,"NFC, Wi-Fi 6, Bluetooth",,,,RAM 6 Go / 128 Go,,SM-A366B/DS,195 g,Qualcomm Snapdragon 6 Gen 3 SM6475 / 2.4 GHz (8 cœurs),"Résistant à l'eau, résistant à la poussière",,,,,Android 15 avec One UI 7,5 mégapixels - f/2.4 - appareil photo macro,5G smartphone,,Qualcomm Hexagon,
11534651,Samsung Galaxy A26 5G Noir 128 Go Entreprise Edition,SAMSUNG,"Enterprise Edition - 5G smartphone - double SIM - RAM 6 Go / Mémoire interne 128 Go - microSD slot - écran OEL - 6.7"" - 2340 x 1080 pixels (120 Hz) - 3 x caméras arrière 50 MP, 8 MP, 2 MP - front camera 13 MP - noir",318.5,,"Écran OEL - 2340 x 1080 pixels - 6.7"" - (120 Hz) - Super AMOLED - Corning Gorilla Glass Victus+ (verre résistant aux rayures)",,,,,13 mégapixels f/2.2 - sans mise au point,50 mégapixels - f/1.8 - mise au point : automatique,Double SIM - nano SIM,,microSDXC fente - jusqu'à 2 To,,,Https://eprel.ec.europa.eu/qr/2298014,USB-C,Noir,8 mégapixels - lentille ultra grand angle - f/2.2,,Lecteur d'empreintes (côté),0.414 W/kg (head) ¦ 0.962 W/kg (body) ¦ 0.905 W/kg (membre),,,,,Non spécifié,Garantie de 3 ans,8.5 (sur 10),,"NFC, Wi-Fi 5, Bluetooth",,,,RAM 6 Go / 128 Go,,SM-A266B/DS,200 g,Samsung Exynos 1380 2.4 GHz (8 cœurs),,,,,,Android 15 avec One UI 7,2 mégapixels - f/2.4 - appareil photo macro,5G smartphone,,,
11857498,Google Pixel 10,GOOGLE,"5G smartphone - double SIM - RAM 12 Go / Mémoire interne 128 Go - écran OEL - 6.3"" - 2424 x 1080 pixels (120 Hz) - 3 x caméras arrière 48 MP, 13 MP, 10,8 MP - front camera 10,5 MP - Obsidien",866.49,,"Écran OEL - 2424 x 1080 pixels - 6.3"" - 422 ppi - (120 Hz) - 20:9 - OLED - HDR - Corning Gorilla Glass Victus 2 (verre résistant aux rayures)",,,,,"10,5 mégapixels - lentille ultra grand angle - f/2.2 - automatique",48 mégapixels - objectif grand angle - f/1.7 - mise au point : automatique mise au point automatique du laser : - concentration laser,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,Classe B,Https://eprel.ec.europa.eu/qr/2347994,USB-C,Obsidien,13 mégapixels - lentille ultra grand angle - f/2.2,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.79 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,,,"NFC, Bluetooth, Wi-Fi 6",,,,RAM 12 Go / 128 Go,Chargement sans fil Pixelsnap,GK2MP,204 g,Google Tensor G5 - avec Titan M2 security,"Résistant aux rayures, résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 16,"10,8 mégapixels - téléobjectif - 5x zoom optique - f/3.1",5G smartphone,,,
11469216,Google Pixel 9A,GOOGLE,"5G smartphone - double SIM - RAM 8 Go / Mémoire interne 128 Go - écran pOLED - 6.3"" - 2424 x 1080 pixels (120 Hz) - 2x caméras arrière 48 MP, 13 MP - front camera 13 MP - Obsidien",430.05,,"Écran pOLED - 2424 x 1080 pixels - 6.3"" - 422.2 ppi - (120 Hz) - 20:9 - P-OLED - HDR - verre Corning Gorilla 3 (verre résistant aux rayures)",,,,,13 mégapixels - lentille ultra grand angle - f/2.2 - sans mise au point,48 mégapixels - objectif grand angle - f/1.7 - mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2191510,USB-C,Obsidien,13 mégapixels - lentille ultra grand angle - f/2.2,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.79 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,8.7 (sur 10),,"NFC, Wi-Fi 6E, Bluetooth",,,,RAM 8 Go / 128 Go,Qi,GTF7P,185.9 g,Google Tensor G4 - avec Titan M2 security,"Résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 15,,5G smartphone,,,
11857524,Google Pixel 10 Pro XL,GOOGLE,"5G smartphone - double SIM - RAM 16 Go / Mémoire interne 256 Go - écran OEL - 6.8"" - 2992 x 1344 pixels (120 Hz) - 3 x caméras arrière 50 MP, 48 MP, 48 MP - front camera 42 MP - Obsidien",1261.6,,"Écran OEL - 2992 x 1344 pixels - 6.8"" - 486 ppi - (120 Hz) - 20:9 - LTPO OLED - HDR - Corning Gorilla Glass Victus 2 (verre résistant aux rayures)",,,,,42 mégapixels - lentille ultra grand angle - f/2.2 - automatique,50 mégapixels - objectif grand angle - f/1.68 - mise au point : automatique mise au point automatique du laser : - concentration laser,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2347996,USB-C,Obsidien,48 mégapixels - lentille ultra grand angle - f/1.7,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.79 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,,,"UWB, Bluetooth, Wi-Fi 7, NFC",,,,RAM 16 Go / 256 Go,Chargement sans fil Pixelsnap,G45RY,232 g,Google Tensor G5 - avec Titan M2 security,"Résistant aux rayures, résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 16,48 mégapixels - téléobjectif - 5x zoom optique - f/2.8,5G smartphone,,,
11469221,Google Pixel 9A,GOOGLE,"5G smartphone - double SIM - RAM 8 Go / Mémoire interne 128 Go - écran pOLED - 6.3"" - 2424 x 1080 pixels (120 Hz) - 2x caméras arrière 48 MP, 13 MP - front camera 13 MP - iris",430.05,,"Écran pOLED - 2424 x 1080 pixels - 6.3"" - 422.2 ppi - (120 Hz) - 20:9 - P-OLED - HDR - verre Corning Gorilla 3 (verre résistant aux rayures)",,,,,13 mégapixels - lentille ultra grand angle - f/2.2 - sans mise au point,48 mégapixels - objectif grand angle - f/1.7 - mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2191510,USB-C,Iris,13 mégapixels - lentille ultra grand angle - f/2.2,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.79 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,8.7 (sur 10),,"NFC, Wi-Fi 6E, Bluetooth",,,,RAM 8 Go / 128 Go,Qi,GTF7P,185.9 g,Google Tensor G4 - avec Titan M2 security,"Résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 15,,5G smartphone,,,
10421374,Smartphone durable CROSSCALL STELLAR-M6e,CROSSCALL,"5G smartphone - double SIM - RAM 4 Go / Mémoire interne 64 Go - Écran LCD - 6.1"" - 1560 x 720 pixels - rear camera 50 MP - front camera 8 MP - noir",317.58,,"Écran LCD - 1560 x 720 pixels - 6.1"" - 19.5:9 - IPS - Corning Gorilla Glass 5 (scratch resistant glass)",,Jusqu'à 2100 minutes,,,8 mégapixels - sans mise au point,50 mégapixels mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,Classe A,Https://eprel.ec.europa.eu/qr/2361530,USB-C,Noir,,,,0.89 W/kg (head) ¦ 0.6 W/kg (body) ¦ 1.8 W/kg (membre),Jusqu'à 400 heures,,Flash LED,,Non spécifié,Garantie de 5 ans,,,"NFC, Bluetooth, Wi-Fi 5, IEEE 802.11a/b/g/n/ac/k/r/v/u",,,,RAM 4 Go / 64 Go,,,239 g,Qualcomm QCM4490 / 2.4 GHz (8 cœurs),"Résistant à l'eau, résistant à la poussière, protection contre les chutes",,,,,Android 14,,5G smartphone,,,
11857542,Google Pixel 10 Pro,GOOGLE,"5G smartphone - double SIM - RAM 16 Go / Mémoire interne 128 Go - écran OEL - 6.3"" - 1280 x 2856 pixels (120 Hz) - 3 x caméras arrière 50 MP, 48 MP, 48 MP - front camera 42 MP - pierre de lune",1064.05,,"Écran OEL - 1280 x 2856 pixels - 6.3"" - 495 ppi - (120 Hz) - 20:9 - LTPO OLED - HDR - Corning Gorilla Glass Victus 2 (verre résistant aux rayures)",,,,,42 mégapixels - lentille ultra grand angle - f/2.2 - automatique,50 mégapixels - objectif grand angle - f/1.68 - mise au point : automatique mise au point automatique du laser : - concentration laser,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,,USB-C,Pierre de lune,48 mégapixels - lentille ultra grand angle - f/1.7,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.77 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,,,"UWB, Bluetooth, Wi-Fi 7, NFC",,,,RAM 16 Go / 128 Go,Pixelsnap Wireless Charging,GEHN3,207 g,Google Tensor G5 - avec Titan M2 security,"Résistant aux rayures, résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 16,48 mégapixels - téléobjectif - 5x zoom optique - f/2.8,5G smartphone,,,
10421373,Smartphone durable CROSSCALL STELLAR-M6,CROSSCALL,"5G smartphone - double SIM - RAM 6 Go / Mémoire interne 128 Go - Écran LCD - 6.1"" - 1560 x 720 pixels - rear camera 50 MP - front camera 8 MP - noir",400.91,,"Écran LCD - 1560 x 720 pixels - 6.1"" - 19.5:9 - IPS - Corning Gorilla Glass 5 (scratch resistant glass)",,Jusqu'à 2100 minutes,,,8 mégapixels - sans mise au point,50 mégapixels mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,Classe A,Https://eprel.ec.europa.eu/qr/2361490,USB-C,Noir,,,Lecteur d'empreintes digitales (arrière),0.92 W/kg (head) ¦ 1.06 W/kg (body) ¦ 1.93 W/kg (membre),Jusqu'à 400 heures,,Flash LED,,Non spécifié,Garantie de 5 ans,,,"NFC, Bluetooth, Wi-Fi 6E, IEEE 802.11a/b/g/n/ac/ax/k/r/v/u",,,,RAM 6 Go / 128 Go,,,242 g,Qualcomm QCM4490 / 2.4 GHz (8 cœurs),,,,,,Android 14,,5G smartphone,,,
11862068,Galaxy A17 Noir 128 Go,SAMSUNG,"4G smartphone - double SIM - RAM 4 Go / Mémoire interne 128 Go - microSD slot - écran OEL - 6.7"" - 2340 x 1080 pixels (90 Hz) - 3 x caméras arrière 50 MP, 5 MP, 2 MP - front camera 13 MP - noir",188.5,ARM Mali-G68 MP2,"Écran OEL - 2340 x 1080 pixels - 6.7"" - 387 ppi - (90 Hz) - Super AMOLED - Corning Gorilla Glass Victus+ (verre résistant aux rayures)",,,,,13 mégapixels f/2.0 - sans mise au point,50 mégapixels - objectif grand angle - f/1.8 - mise au point : automatique,Double SIM - nano SIM,,microSDXC fente - jusqu'à 2 To,,,Https://eprel.ec.europa.eu/qr/2365700,USB-C,Noir,5 mégapixels - lentille ultra grand angle - f/2.2,,"Reconnaissance faciale, lecteur d'empreintes (côté)",0.366 W/kg (head) ¦ 1.179 W/kg (body) ¦ 2.49 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,3.15 (sur 10),,"NFC, Wi-Fi 5, Bluetooth",,,,RAM 4 Go / 128 Go,,SM-A175F/DSB,190 g,MediaTek Helio G99 MT6789 / 2.2 GHz (8 cœurs),"Résistant à l'eau, résistant à la poussière",,,,,Android 15 avec One UI 7,2 mégapixels - f/2.4 - appareil photo macro,4G smartphone,,,
10451666,Galaxy S24 FE 5G Graphite 128Go,SAMSUNG,"5G smartphone - double SIM - RAM 8 Go / Mémoire interne 128 Go - écran OEL - 6.7"" - 2340 x 1080 pixels (120 Hz) - 3 x caméras arrière 50 MP, 12 MP, 8 MP - front camera 10 MP - graphite",741.0,,"Écran OEL - 2340 x 1080 pixels - 6.7"" - (120 Hz) - Dynamic AMOLED 2X - Corning Gorilla Glass Victus+ (verre résistant aux rayures)",,,,,10 mégapixels f/2.4 - sans mise au point,50 mégapixels - objectif grand angle - f/1.8 - mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2284557,USB-C,Graphite,12 mégapixels - lentille ultra grand angle - f/2.2,,Lecteur d'empreintes,0.857 W/kg (head) ¦ 1.29 W/kg (body) ¦ 2.55 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,8.4 (sur 10),,"NFC, Wi-Fi 6, Wi-Fi 6E, Bluetooth",,,,RAM 8 Go / 128 Go,"WPC, Qi, Fast Wireless Charging, Wireless PowerShare",SM-S721B/DS,213 g,Samsung Exynos 2400e 3.1 GHz (10 cœurs),"Contre les saletés, résistant à l'eau, résistant à la poussière, résistant au sable",,,,,Android 14 avec Samsung One UI 6.1,8 mégapixels - téléobjectif - 3x zoom optique - f/2.4,5G smartphone,,,
11487022,Smartphone Crosscall CORE-X5 128+6GB SCE,CROSSCALL,"4G smartphone - double SIM - RAM 6 Go / Mémoire interne 128 Go - microSD slot - Écran LCD - 5.45"" - 1440 x 720 pixels - rear camera 48 MP - front camera 8 MP - noir",467.58,,"Écran LCD - 1440 x 720 pixels - 5.45"" - 18:9 - IPS - verre Corning Gorilla 3 (verre résistant aux rayures)",,Jusqu'à 1924 minutes,,,8 mégapixels - sans mise au point,48 mégapixels mise au point : automatique,Double SIM - nano SIM,,microSDXC fente - jusqu'à 512 Go,,,Https://eprel.ec.europa.eu/qr/2361580,"Jack 3,5 mm pour casque, USB-C",Noir,,,Lecteur d'empreintes,1.335 W/kg (head) ¦ 1.521 W/kg (body) ¦ 3.041 W/kg (membre),Jusqu'à 312 heures,,"Radio FM, flash LED",Robuste,Non spécifié,Garantie de 5 ans,,,"NFC, Bluetooth, IEEE 802.11a/b/g/n/ac/k/r/v/u",,,,RAM 6 Go / 128 Go,,,256 g,Qualcomm Snapdragon 665 SM6125 / 2 GHz (8 cœurs),"Antichoc, anti-poussière, étanche, protection thermique, résistant aux produits chimiques, protection contre le rayonnement solaire, protection contre brouillard salin, résistance à l'altitude, protection contre les chutes",,,,,Android 11,,4G smartphone,,,
11534801,Samsung Galaxy A56 5G Noir 256 Go Entreprise Edition,SAMSUNG,"Enterprise Edition - 5G smartphone - double SIM - RAM 8 Go / Mémoire interne 256 Go - écran OEL - 6.7"" - 2340 x 1080 pixels (120 Hz) - 3 x caméras arrière 50 MP, 12 MP, 5 MP - front camera 12 MP - graphite magnifique",549.9,,"Écran OEL - 2340 x 1080 pixels - 6.7"" - (120 Hz) - Super AMOLED - Corning Gorilla Glass Victus+ (verre résistant aux rayures)",,,,,12 mégapixels f/2.2 - sans mise au point,50 mégapixels - objectif grand angle - f/1.8 - mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2339787,USB-C,Graphite magnifique,12 mégapixels - lentille ultra grand angle - f/2.2,,,0.61 W/kg (head) ¦ 1.051 W/kg (body) ¦ 2.03 W/kg (membre),,,,,Non spécifié,Garantie de 3 ans,8.4 (sur 10),,"NFC, Wi-Fi 6, Bluetooth",,,,RAM 8 Go / 256 Go,,SM-A566B/DS,198 g,Samsung Exynos 1580 2.9 GHz (8 cœurs),"Résistant à l'eau, résistant à la poussière",,,,,Android 15 avec One UI 7,5 mégapixels - f/2.4 - appareil photo macro,5G smartphone,,,
11469212,Google Pixel 9A,GOOGLE,"5G smartphone - double SIM - RAM 8 Go / Mémoire interne 128 Go - écran pOLED - 6.3"" - 2424 x 1080 pixels (120 Hz) - 2x caméras arrière 48 MP, 13 MP - front camera 13 MP - porcelaine",430.05,,"Écran pOLED - 2424 x 1080 pixels - 6.3"" - 422.2 ppi - (120 Hz) - 20:9 - P-OLED - HDR - verre Corning Gorilla 3 (verre résistant aux rayures)",,,,,13 mégapixels - lentille ultra grand angle - f/2.2 - sans mise au point,48 mégapixels - objectif grand angle - f/1.7 - mise au point : automatique,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2191510,USB-C,Porcelaine,13 mégapixels - lentille ultra grand angle - f/2.2,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.79 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,8.7 (sur 10),,"NFC, Wi-Fi 6E, Bluetooth",,,,RAM 8 Go / 128 Go,Qi,GTF7P,185.9 g,Google Tensor G4 - avec Titan M2 security,"Résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 15,,5G smartphone,,,
11857545,Google Pixel 10 Pro,GOOGLE,"5G smartphone - double SIM - RAM 16 Go / Mémoire interne 128 Go - écran OEL - 6.3"" - 1280 x 2856 pixels (120 Hz) - 3 x caméras arrière 50 MP, 48 MP, 48 MP - front camera 42 MP - Obsidien",1064.05,,"Écran OEL - 1280 x 2856 pixels - 6.3"" - 495 ppi - (120 Hz) - 20:9 - LTPO OLED - HDR - Corning Gorilla Glass Victus 2 (verre résistant aux rayures)",,,,,42 mégapixels - lentille ultra grand angle - f/2.2 - automatique,50 mégapixels - objectif grand angle - f/1.68 - mise au point : automatique mise au point automatique du laser : - concentration laser,"Double SIM - nano SIM, Carte SIM électronique (e-SIM)",,,,,Https://eprel.ec.europa.eu/qr/2347995,USB-C,Obsidien,48 mégapixels - lentille ultra grand angle - f/1.7,,"Reconnaissance faciale, lecteur d'empreintes",0.99 W/kg (head) ¦ 1.39 W/kg (body) ¦ 2.77 W/kg (membre),,,,,Non spécifié,Garantie de 2 ans,,,"UWB, Bluetooth, Wi-Fi 7, NFC",,,,RAM 16 Go / 128 Go,Chargement sans fil Pixelsnap,GEHN3,207 g,Google Tensor G5 - avec Titan M2 security,"Résistant aux rayures, résistant à l'eau, résistant à la poussière, résistant aux empreintes de doigts",,,,,Android 16,48 mégapixels - téléobjectif - 5x zoom optique - f/2.8,5G smartphone,,,
