id,nom,marque,caracteristiques,prix,API  prises en charge,Accessoires compris,Affichage,Ajustements,Alimentation,Améliorations d'image,Appareil d'entrée,Appareils pris en charge,Audio,Avertissement sur les couleurs de l'image,Baie compatible,Baies,Baies d'extension,Bande de fréquence,Batterie,Cache par processeur,Caméra,Capacité,Capacité d'alimentation,Capacité de stockage,Caractéristiques,Caractéristiques d’environnement  (en fonctionnement),Caractéristiques principales du processeur,Cartes mémoire prises en charge,Catégorie,Certification du logiciel,Classe d'entraînement,Classe de diagonale,Classe énergétique,Clavier,Clavier numérique,Code QR du label énergétique URL,Codec,Commandes,Compatibilité TTA,Compatibilité de la taille de l'écran,Compatibilité ordinateur portable,Composants intégrés,Configuration de PC,Configuration requise,Configuration à unités de traitement graphique multiples,Connecteur,Connecteur (deuxième extrémité),Connecteurs,Connecteurs d'entrée,Connecteurs de sortie,Connectivité,Consommation électrique en veille,Contenu de l'emballage,Contenu du kit,Contrôleur de stockage,Contrôleur graphique,Conçu pour,Conçu pour être installé,Copilot+ PC,Couleur,Cryptage matériel,Destiné à,Dimensions (LxPxH) - sans support,Dimensions d'ordinateur portable prises en charge,Dispositif de pointage,Dispositifs intégrés,Disque dur,Disque dur (troisième),Débit d'absorption spécifique (DAS),Débit de transfert de données,Détails d'interface,Détails de la résolution maximale,Emplacement,Empreinte carbone,Entrée audio,Entrée vidéo,Fonction de raccourcis clavier,Fonctionne avec Chromebook,Fonctions,Fonctions commerciales,Format,Format d'affichage,Format de l'image,Formats audio pris en charge,Formats de lecture vidéo,Formats de photos numériques pris en charge,Fourni avec,Fournisseur de services,Garantie du fabricant,Graphique,Hard Drive Form Factor Compatibility,Hauteur (unités de rack),Hauteur réglable,Inclinaison,Intelligence Apple,Interface,Interface PC,Interface de montage VESA,Interface mémoire,Interface prise en charge,Interface sans fil,Interface vidéo,Interfaces,Internet haut débit mobile,Iris de l'objectif,Jeu,Largeur réglable,Lecteur de carte,Localisation,Localisation et disposition,Logiciel(s) inclus,Longueur,Longueur du câble,Matériau,Matériau du produit,Matériaux de terres rares,Microsoft Copilot,Moniteur,Moteur graphique,Mémoire,Mémoire cache,Mémoire vidéo,Nbre de canaux,Nbre de licences,Nbre de touches,Nbre max. de périphériques de stockage,Nombre de boutons,Nombre de ports HDMI,Nombre de touches,Nombre de touches spéciales,Nombre maximum de moniteurs,Normes audionumériques prises en charge,Normes de conformité,Normes environnementales,Normes vidéo numériques prises en charge,Noyaux CUDA,Orientation,Performance,Pivoter,Plage d'inclinaison (degré),Plage panoramique (degré),Plate-forme,Poids,Poids de la charge max.,Port du Processeur,Ports,Positionnement/montage,Potocole de signal numérique,Processeur,Profondeur réglable,Programme d'octroi de licences,Programme de ventes par le fabricant,Protocole de compression de données,Protocole de liaison de données,Protocoles VoIP,Périphérique d'entrée,Qté de roulettes,Quantité emballée,RAM,Rotation,Récepteur sans fil,Réglage de la mise au point,Réseaux,Résolution,Résolution maximale,Rétroéclairage du clavier,Révision des spécifications PCI,Service et maintenance,Services de diffusion en streaming sur Internet,Services inclus,Sortie audio,Stockage,Stockage optique,Style de touches,Supported Form Factor,Système d'exploitation,Système d'exploitation fourni,Système d'exploitation requis,Système de haut-parleurs,Sécurité,Taille d'écran recommandée,Taille de la diagonale,Taille de la mémoire tampon,Tarification de licence,Taux d'image et technologie d'amélioration,Technologie,Technologie de Plate-forme,Technologie de connectivité,Technologie de détection de mouvements,Technologie de rétroéclairage LCD,Tension,Tension d'entrée,Titre,Transmission à large bande sans fil,Tuner de télévision,Type,Type d'emballage,Type d'interface (bus),Type de Produit,Type de bus,Type de contacts,Type de câblage,Type de tarification,USB,Unité d'affichage pour mur vidéo,Unité de disque dur (2ème),Unité de traitement neural (NPU),Utilisation commerciale,Utilisation recommandée,Vitesse de broche,Volume,Webcam intégrée,Zoom optique,Éléments de montage
11802646,Lenovo ThinkCentre M70q Gen 5 12TD,LENOVO,"Minuscule Core i5 i5-14400T / jusqu'à 4.5 GHz - RAM 16 Go - SSD 512 Go - TCG Opal Encryption, NVMe - UHD Graphics 730 - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6E), Bluetooth 5.3 - Win 11 Pro - moniteur : aucun - clavier : Français - noir - Lenovo TopSeller - avec 3 ans de support sur site Lenovo + 1 an de support Premier Le",849.41,,,,,(50/60 Hz),,,,,,,,,,,20 Mo,,,,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 730 mémoire vidéo partagée (UMA),,,,Noir,,,,,,,"SSD 512 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption, NVM Express (NVMe)",,,,,,,,,,,,,,,,,,,,,,Garantie de base - 1 an - sur site ¦ Garantie étendue - 3 ans - sur site ¦ Garantie étendue - 1 an - sur site - temps de réponse : jour ouvré suivant,,,,,,,,,,,,,,,,,,,,Langue : français / région : France,,,,,,,,,,,,20 Mo,,,,,,,,,,,,,"TCO Certified Desktops 9, ENERGY STAR EPEAT Silver",,,,,,,,,1.25 kg,,,,,,"Intel Core i5 (14ème génération) i5-14400T / 1.5 GHz (jusqu'à 4.5 GHz, (10 cœurs)",,,Lenovo TopSeller,,,,,,,16 Go (installé) / 64 Go (maximum) - DDR5 SDRAM,,,,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6E, Bluetooth 5.3",,,,,,,3 ans de support sur site Lenovo + 1 an de support Premier Lenovo,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - minuscule,,,,,,,,,,,,,,,,,,
11802643,Lenovo ThinkCentre M70q Gen 5 12TD,LENOVO,"Minuscule Core i3 i3-14100T / jusqu'à 4.4 GHz - RAM 8 Go - SSD 256 Go - TCG Opal Encryption, NVMe - UHD Graphics 730 - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6E), Bluetooth 5.3 - Win 11 Pro - moniteur : aucun - clavier : Français - noir - Lenovo TopSeller - avec 3 ans de support Lenovo sur site",647.06,,,,,(50/60 Hz),,,,,,,,,,,12 Mo,,,,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 730 mémoire vidéo partagée (UMA),,,,Noir,,,,,,,"SSD 256 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption, NVM Express (NVMe)",,,,,,,,,,,,,,,,,,,,,,Garantie de base - 1 an - sur site ¦ Garantie étendue - 3 ans - sur site,,,,,,,,,,,,,,,,,,,,Langue : français / région : France,,,,,,,,,,,,12 Mo,,,,,,,,,,,,,"TCO Certified Desktops 9, ENERGY STAR EPEAT Silver",,,,,,,,,1.25 kg,,,,,,"Intel Core i3 (14ème génération) i3-14100T / 2.7 GHz (jusqu'à 4.4 GHz, (quadricœur)",,,Lenovo TopSeller,,,,,,,8 Go (installé) / 64 Go (maximum) - DDR5 SDRAM,,,,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6E, Bluetooth 5.3",,,,,,,3 ans de support Lenovo sur site,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - minuscule,,,,,,,,,,,,,,,,,,
11802634,Lenovo ThinkCentre M70q Gen 5 12TD,LENOVO,"Minuscule Core i5 i5-14400T / jusqu'à 4.5 GHz - RAM 8 Go - SSD 256 Go - TCG Opal Encryption, NVMe - UHD Graphics 730 - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6E), Bluetooth 5.3 - Win 11 Pro - moniteur : aucun - clavier : Français - noir - Lenovo TopSeller - avec 3 ans de support Lenovo sur site",743.53,,,,,(50/60 Hz),,,,,,,,,,,20 Mo,,,,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 730 mémoire vidéo partagée (UMA),,,,Noir,,,,,,,"SSD 256 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption, NVM Express (NVMe)",,,,,,,,,,,,,,,,,,,,,,Garantie de base - 1 an - sur site ¦ Garantie étendue - 3 ans - sur site,,,,,,,,,,,,,,,,,,,,Langue : français / région : France,,,,,,,,,,,,20 Mo,,,,,,,,,,,,,"TCO Certified Desktops 9, ENERGY STAR EPEAT Silver",,,,,,,,,1.25 kg,,,,,,"Intel Core i5 (14ème génération) i5-14400T / 1.5 GHz (jusqu'à 4.5 GHz, (10 cœurs)",,,Lenovo TopSeller,,,,,,,8 Go (installé) / 64 Go (maximum) - DDR5 SDRAM,,,,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Wi-Fi 6E, Bluetooth 5.3",,,,,,,3 ans de support Lenovo sur site,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - minuscule,,,,,,,,,,,,,,,,,,
11836320,Dell Pro Micro QCM1250,DELL,"Micro Core i5 i5-14500T / jusqu'à 4.8 GHz - RAM 8 Go - SSD 512 Go - NVMe - UHD Graphics 770 - IEEE 802.11ax (Wi-Fi 6E), Bluetooth, Gigabit Ethernet - Win 11 Pro - moniteur : aucun - noir - BTS - avec 1 an de service de base sur site après diagnostic à distance avec support matériel uniquement - Disti SnS",606.47,,,,,(50/60 Hz),,,,,,,,,,,24 Mo,,,,,,,"20 fils, 35W CPU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 770 mémoire vidéo partagée (UMA),,,,Noir,,,,,,,SSD 512 Go - PCI Express 4.0 - M.2 - NVM Express (NVMe),,,,,,,77.6 kg d'émissions de carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Activez votre Microsoft 365 pour une période d'essai de 30 jours,,,,,,,,,,24 Mo,,,,,,,,,,,,,ENERGY STAR EPEAT Gold,,,,,,,,,1.16 kg,,,,,,"Intel Core i5 (14ème génération) i5-14500T / 1.7 GHz (jusqu'à 4.8 GHz, (14 cœurs)",,,,,,,,,,8 Go (installé) / 64 Go (maximum) - DDR5 SDRAM - non ECC,,,,"802.11a, Wi-Fi 5, Wi-Fi 6E, 802.11b/g/n, Bluetooth, 1GbE",,,,,,,1 an de service de base sur site après diagnostic à distance avec support matériel uniquement - Disti SnS,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - micro,,,,,,,Build To Stock (BTS),,,,,,,,,,,
10392138,HP 27-cr0008nf,HP INC,"cr0008nf - Tout-en-un Core i5 1335U / jusqu'à 4.6 GHz - RAM 16 Go - SSD 512 Go - NVMe - Carte graphique Intel Iris Xe - IEEE 802.11ax (Wi-Fi 6), Bluetooth 5.3, Gigabit Ethernet - Win 11 Home - moniteur : LED 27"" 1920 x 1080 (Full HD) - clavier : Français - Blanc coquille",800.38,,,,,,,,,,,,,,,,12 Mo,Oui,,,,,,Technologie Intel Turbo Boost,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Carte graphique Intel Iris Xe,,,,Blanc coquille,,,,,,,SSD 512 Go - PCI Express - M.2 - NVM Express (NVMe),,,,,,,,,,,,,,,,,,,,,,Garantie limitée - pièces et main d'oeuvre - 1 an,,,,,,,,,,,,,,,,,,,,Langue : français / région : France,,"HP Connection Optimizer, HP Support Assistant, HP OMEN Gaming Hub, HP Enhanced Lighting, myHP, McAfee Online Protection (30 jours d'essai), ExpressVPN (30 jours d'essai), LastPass Premium (30 jours d'essai), Dropbox (25 Go de stockage en nuage) (gratuit pendant 1 an)",,,,,,,"27"" - LED - 1920 x 1080 (Full HD)",,,12 Mo L3,,,,,,,,,,,,,ENERGY STAR,,,,,,,,,6.42 kg,,,,,,"Intel Core i5 (13ème génération) 1335U (jusqu'à 4.6 GHz, (10 cœurs)",,,,,,,,,,16 Go DDR4 SDRAM,,,,"802.11a, Wi-Fi 5, Wi-Fi 6, 802.11b/g/n, Bluetooth 5.3, 1GbE",,,,,,,,,,Pas de disque optique,,,,Windows 11 Home,,,,,,,,,,,,,,,,,,,Ordinateur personnel - tout-en-un,,,,,,,,,,,,,,,,,,
11802645,Lenovo ThinkCentre M70s Gen 5 12U8,LENOVO,"SFF Core i5 i5-14400 / jusqu'à 4.7 GHz - RAM 16 Go - SSD 512 Go - TCG Opal Encryption 2, NVMe - UHD Graphics 730 - Gigabit Ethernet - Win 11 Pro - moniteur : aucun - clavier : Français - noir - Lenovo TopSeller",870.59,,,,,(50/60 Hz),,,,,,,,,,,20 Mo,,,,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 730 mémoire vidéo partagée (UMA),,,,Noir,,,,,,,"SSD 512 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption 2, NVM Express (NVMe)",,,,,,,,,,,,,,,,,,,,,,Garantie limitée - 3 ans - sur site,,,,,,,,,,,,,,,,,,,Oui,Langue : français / région : France,,,,,,,,,,,,20 Mo,,,,,,,,,,,,,TCO Certified Desktops 9,,,,,,,,,5.3 kg,,,,,,"Intel Core i5 (14ème génération) i5-14400 / 2.5 GHz (jusqu'à 4.7 GHz, (10 cœurs)",,,Lenovo TopSeller,,,,,,,16 Go (installé) / 64 Go (maximum) - DDR5 SDRAM,,,,1GbE,,,,,,,,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - SFF,,,,,,,,,,,,,,,,,,
11450874,Compulocks Support de sécurité Mac Mini argentée,COMPULOCKS,"Lit de montage de sécurité de système - montable sur mur, montable sur bureau, montable sous bureau, montage possible sur moniteur - noir",55.22,,,,,,,,,,,,,,,,,,,,,"Léger, compact, verrouillable, ventilé, VESA 100 x 100 mm, VESA 75 x 75 mm, protection contre surchauffe",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Étrier VESA, verrou de sécurité, clés",,,,,,,Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminium de haute qualité,,,,,,,,,,,,,,,,,,,,,,,,,,,,680 g,,,,"Montable sur mur, montable sur bureau, montable sous bureau, montage possible sur moniteur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11836929,Dell Pro Micro QCM1250,DELL,"Micro Core Ultra 5 235T / jusqu'à 5 GHz - RAM 16 Go - SSD 512 Go - NVMe - Intel Graphics - IEEE 802.11ax (Wi-Fi 6E), Bluetooth, Gigabit Ethernet - Win 11 Pro - moniteur : aucun - noir - BTS - avec 1 an de service de base sur site après diagnostic à distance avec support matériel uniquement - Disti SnS",696.79,,,,,(50/60 Hz),,,,,,,,,,,24 Mo,,,,,,,"14 fils, 35W CPU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel Graphics mémoire vidéo partagée (UMA) - jusqu'à 6 TOPS,,,,Noir,,,,,,,SSD 512 Go - PCI Express 4.0 - M.2 - NVM Express (NVMe),,,,,,,77.6 kg d'émissions de carbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Activez votre Microsoft 365 pour une période d'essai de 30 jours,,,,,,,,,,24 Mo,,,,,,,,,,,,,ENERGY STAR EPEAT Gold,,,,,,,,,1.16 kg,,,,,,"Intel Core Ultra 5 (Série 2) 235T / 2.2 GHz (jusqu'à 5 GHz, (14 cœurs)",,,,,,,,,,16 Go (installé) / 64 Go (maximum) - DDR5 SDRAM - non ECC,,,,"802.11a, Wi-Fi 5, Wi-Fi 6E, 802.11b/g/n, Bluetooth, 1GbE",,,,,,,1 an de service de base sur site après diagnostic à distance avec support matériel uniquement - Disti SnS,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - micro,,,,,,,Build To Stock (BTS),,,,Intel AI Boost - jusqu'à 13 TOPS,,,,,,,
11802640,Lenovo ThinkCentre neo 50s Gen 5 12XD,LENOVO,"SFF Core i5 i5-14400 / jusqu'à 4.7 GHz - RAM 16 Go - SSD 512 Go - TCG Opal Encryption 2, NVMe - UHD Graphics 730 - Gigabit Ethernet, Bluetooth 5.2, IEEE 802.11ax (Wi-Fi 6) - Win 11 Pro - moniteur : aucun - clavier : Français - noir (châssis), gris (cadre) - Lenovo TopSeller - avec 3 ans de support Lenovo sur site",743.53,,,,,(50/60 Hz),,,,,,,,,,,20 Mo,,,,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 730 mémoire vidéo partagée (UMA),,,,"Noir (châssis), gris (cadre)",,,,,,,"SSD 512 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption 2, NVM Express (NVMe)",,,,,,,,,,,,,,,,,,,,,,Garantie de base - 1 an - sur site ¦ Garantie étendue - 3 ans - sur site,,,,,,,,,,,,,,,,,,,Oui,Langue : français / région : France,,,,,,,,,,,,20 Mo,,,,,,,,,,,,,TCO Certified Desktops 9,,,,,,,,,4.2 kg,,,,,,"Intel Core i5 (14ème génération) i5-14400 / 2.5 GHz (jusqu'à 4.7 GHz, (10 cœurs)",,,Lenovo TopSeller,,,,,,,16 Go (installé) / 64 Go (maximum) - DDR5 SDRAM,,,,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Bluetooth 5.2, Wi-Fi 6",,,,,,,3 ans de support Lenovo sur site,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - SFF,,,,,,,,,,,,,,,,,,
11802631,Lenovo ThinkCentre neo 50s Gen 5 12XD,LENOVO,"SFF Core i3 i3-14100 / jusqu'à 4.7 GHz - RAM 8 Go - SSD 256 Go - TCG Opal Encryption 2, NVMe - UHD Graphics 730 - Gigabit Ethernet, Bluetooth 5.2, IEEE 802.11ax (Wi-Fi 6) - Win 11 Pro - moniteur : aucun - clavier : Français - noir (châssis), gris (cadre) - Lenovo TopSeller - avec 3 ans de support Lenovo sur site",602.35,,,,,(50/60 Hz),,,,,,,,,,,12 Mo,,,,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics 730 mémoire vidéo partagée (UMA),,,,"Noir (châssis), gris (cadre)",,,,,,,"SSD 256 Go - PCI Express 4.0 x4 - M.2 2280 - TCG Opal Encryption 2, NVM Express (NVMe)",,,,,,,,,,,,,,,,,,,,,,Garantie de base - 1 an - sur site ¦ Garantie étendue - 3 ans - sur site,,,,,,,,,,,,,,,,,,,Oui,Langue : français / région : France,,,,,,,,,,,,12 Mo,,,,,,,,,,,,,TCO Certified Desktops 9,,,,,,,,,4.2 kg,,,,,,"Intel Core i3 (14ème génération) i3-14100 / 3.5 GHz (jusqu'à 4.7 GHz, (quadricœur)",,,Lenovo TopSeller,,,,,,,8 Go (installé) / 64 Go (maximum) - DDR5 SDRAM,,,,"1GbE, 802.11a, 802.11b/g/n, Wi-Fi 5, Bluetooth 5.2, Wi-Fi 6",,,,,,,3 ans de support Lenovo sur site,,,Pas de disque optique,,,,Windows 11 Pro,,,,,,,,,,,,,,,,,,,Ordinateur personnel - SFF,,,,,,,,,,,,,,,,,,
